ncbiTaxID	Temp
685	29.75
687	25.5
689	26.727272727272727
691	30.0
693	28.0
703	37.0
714	37.0
715	37.0
716	37.0
717	37.0
718	37.0
720	37.0
723	37.0
727	36.0
728	37.0
729	36.0
730	36.0
732	37.0
734	37.0
735	37.0
738	36.0
739	37.0
747	39.0
750	37.0
753	37.0
755	37.0
761	37.0
774	26.5
781	33.0
782	35.0
783	33.0
785	35.0
787	33.0
813	37.0
817	37.0
818	37.0
820	37.0
821	37.0
823	37.0
824	37.0
827	37.0
831	37.0
833	37.0
837	37.0
839	33.5
840	37.0
844	37.0
849	37.0
851	36.0
856	37.0
858	37.0
859	37.0
860	37.0
861	37.0
865	29.75
870	37.0
873	33.0
876	33.0
878	37.0
879	35.0
880	33.0
881	33.0
882	37.0
885	33.333333333333336
889	35.0
891	30.0
894	33.333333333333336
897	35.0
899	32.5
901	37.0
905	33.5
907	38.5
912	29.0
913	29.0
920	30.785714285714285
921	27.5
923	37.5
926	31.666666666666668
927	30.0
929	44.0
930	29.77777777777778
931	29.0
940	72.5
959	25.0
960	17.5
964	32.0
966	26.0
971	37.5
979	26.0
982	30.0
983	18.75
984	25.0
985	30.0
986	27.5
987	25.0
990	30.0
991	22.5
995	24.0
996	27.5
1006	30.0
1008	30.0
1014	37.0
1015	32.125
1017	37.0
1018	36.0
1019	37.0
1028	25.0
1031	27.5
1034	37.0
1035	32.25
1044	28.5
1048	25.0
1049	30.0
1052	44.0
1053	42.75
1058	25.0
1061	32.5
1063	32.0
1071	25.0
1074	26.25
1076	26.25
1079	27.5
1084	27.5
1085	32.5
1086	40.0
1087	40.0
1092	30.0
1096	25.0
1097	47.5
1098	25.0
1100	25.0
1102	30.0
1108	56.0
1112	29.0
1126	19.232835820895524
1160	20.2
1165	20.0
1184	20.0
1238	16.5
1244	25.0
1245	25.0
1246	25.0
1247	22.0
1249	31.0
1251	30.0
1252	27.33333333333333
1254	40.0
1255	30.0
1258	37.0
1261	37.0
1264	39.5
1267	37.0
1270	37.0
1272	28.0
1273	30.75
1274	29.5
1275	28.0
1276	30.0
1280	33.5
1281	35.0
1282	33.5
1283	35.0
1284	32.5
1285	35.0
1286	32.5
1288	30.0
1290	35.0
1292	35.0
1294	37.0
1295	37.0
1296	37.5
1299	30.0
1302	37.0
1303	37.0
1304	37.0
1305	37.0
1306	37.0
1307	37.0
1308	40.0
1309	37.0
1310	37.0
1311	37.0
1313	37.0
1314	37.0
1317	37.0
1318	37.0
1323	37.0
1326	37.0
1328	37.0
1329	37.0
1333	37.0
1334	37.0
1335	37.0
1336	37.0
1337	37.0
1338	37.0
1340	37.0
1341	37.0
1345	39.5
1348	36.0
1349	37.0
1351	36.0
1352	36.0
1353	36.0
1354	36.0
1355	37.0
1356	37.0
1358	30.12962962962963
1359	37.0
1363	30.0
1364	20.0
1365	30.0
1366	30.0
1371	33.5
1373	30.0
1376	30.0
1377	32.0
1379	37.0
1382	37.0
1383	37.0
1388	60.0
1390	35.0
1391	37.0
1392	37.0
1393	30.0
1396	37.0
1397	30.3
1398	51.75
1399	35.0
1401	37.0
1402	50.0
1404	30.0
1405	26.444444444444443
1406	30.0
1407	23.33333333333333
1408	29.21794871794872
1409	33.40909090909091
1411	37.0
1413	37.0
1418	37.0
1421	35.794117647058826
1422	55.0
1423	29.33333333333333
1426	57.333333333333336
1428	37.0
1445	32.55555555555556
1449	35.0
1450	47.5
1451	29.0
1452	29.0
1454	32.333333333333336
1455	30.375
1456	31.5
1458	30.0
1461	20.0
1462	62.5
1464	32.5
1465	30.0
1467	30.0
1471	55.0
1472	29.0
1473	37.0
1474	30.0
1478	30.0
1479	54.0
1482	37.75
1484	72.5
1488	34.5
1490	37.0
1491	33.5
1492	33.5
1493	37.0
1494	37.0
1495	37.0
1496	37.0
1497	37.0
1498	37.0
1501	37.0
1502	42.333333333333336
1503	36.0
1504	37.0
1505	37.0
1506	34.303030303030305
1509	35.0
1510	63.75
1511	33.5
1513	37.0
1515	60.0
1517	58.5
1519	33.5
1520	37.0
1521	33.5
1522	37.0
1525	57.16666666666666
1528	37.0
1531	37.0
1534	35.0
1537	37.0
1538	37.0
1540	28.0
1541	30.0
1547	37.0
1548	33.5
1551	37.0
1553	37.0
1556	31.0
1559	37.0
1560	56.5
1561	37.5
1563	37.0
1564	37.0
1565	55.0
1566	68.0
1570	30.0
1571	25.0
1575	28.0
1579	35.25
1580	30.875
1581	32.8
1582	35.72727272727273
1584	37.0
1585	37.0
1587	37.0
1588	31.75
1589	30.0
1590	32.1
1591	30.6
1596	37.0
1597	30.0
1598	36.0
1599	32.625
1600	30.0
1601	37.0
1602	30.0
1603	29.0
1604	37.0
1605	37.0
1606	37.0
1607	32.333333333333336
1610	31.75
1612	30.0
1613	36.46153846153846
1614	29.3
1615	30.0
1616	31.75
1618	30.58333333333333
1620	30.0
1622	34.666666666666664
1623	37.0
1624	37.0
1625	29.33333333333333
1626	30.0
1629	32.333333333333336
1630	37.0
1631	30.0
1632	34.666666666666664
1633	37.625
1638	33.5
1639	33.5
1640	33.5
1641	35.833333333333336
1642	33.5
1643	33.5
1646	16.5
1648	33.5
1650	33.5
1652	37.0
1655	37.0
1656	37.0
1657	29.75
1658	37.0
1659	37.0
1661	37.0
1665	30.0
1667	29.666666666666668
1670	28.0
1673	28.0
1676	28.0
1677	28.0
1679	37.0
1680	39.0
1681	39.0
1682	37.0
1683	39.0
1684	35.5
1685	39.0
1686	39.0
1687	39.0
1688	37.0
1689	39.0
1690	37.0
1691	39.0
1692	37.0
1693	37.0
1694	39.0
1695	37.0
1697	30.0
1698	32.333333333333336
1701	33.5
1703	22.5
1705	28.0
1708	29.0
1709	28.0
1710	30.0
1711	30.0
1712	28.0
1713	29.0
1714	28.0
1717	35.25
1718	31.0
1719	37.0
1720	29.2
1724	37.0
1725	35.0
1727	27.75
1732	40.0
1735	37.0
1736	37.0
1741	70.0
1744	31.0
1747	36.5
1749	30.0
1750	36.0
1751	37.0
1752	30.0
1753	37.0
1764	39.5
1765	37.0
1766	37.0
1767	35.5
1768	37.0
1770	37.0
1771	35.833333333333336
1772	35.0
1773	37.0
1776	37.0
1777	37.0
1778	35.0
1779	31.0
1780	37.0
1781	30.0
1782	37.0
1783	35.0
1784	37.0
1785	30.0
1786	31.0
1787	37.0
1788	37.0
1789	43.0
1791	31.0
1792	37.0
1793	30.0
1794	37.0
1795	31.0
1796	37.0
1797	37.0
1798	37.0
1799	33.5
1800	31.0
1804	31.0
1807	30.0
1810	37.0
1816	28.0
1822	30.0
1823	37.0
1824	30.0
1828	30.0
1829	29.9
1830	32.333333333333336
1833	30.0
1836	30.0
1841	28.0
1843	30.0
1844	28.0
1848	45.0
1850	37.0
1852	42.5
1855	28.0
1856	28.0
1861	26.0
1863	36.833333333333336
1866	28.0
1868	25.0
1869	28.0
1874	28.0
1877	28.0
1880	28.0
1881	28.0
1888	27.5
1890	30.0
1892	30.0
1893	30.0
1894	30.0
1895	30.0
1901	30.0
1904	30.0
1906	30.0
1907	30.0
1909	30.0
1911	30.0
1912	30.0
1919	30.0
1923	30.0
1928	30.0
