ncbiTaxID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
213419	Geobacillus zalihae	nan	65	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Geobacillus
511051	Caldisericum exile	AZM16c01, NBRC 104410	65	Bacteria	Caldisericota	Caldisericia	Caldisericales	Caldisericaceae	Caldisericum
693075	Caldisericum exile	nan	65	Bacteria	Caldisericota	Caldisericia	Caldisericales	Caldisericaceae	Caldisericum
79929	Methanothermobacter marburgensis	Marburg DSM 2133	65	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter
187420	Methanothermobacter thermautotrophicus	Delta H	65	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter
2186	Methanococcus thermolithotrophicus	nan	65	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanothermococcus
443254	Marinitoga piezophila	KA3	65	Bacteria	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	Marinitoga
1469144	Streptomyces thermoautotrophicus	nan	65	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Carbonactinosporaceae	Carbonactinospora
1214928	Thermus tengchongensis	nan	65	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Thermus
661089	Carboxydothermus islandicus	nan	65	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Carboxydothermus
870242	Carboxydothermus pertinax	nan	65	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Carboxydothermus
441616	Carboxydothermus siderophilus	nan	65	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Carboxydothermus
676965	Moorella humiferrea	nan	65	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella
202604	Moorella mulderi	nan	65	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella
1266720	Moorella stamsii	nan	65	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella
1226730	Thermanaeromonas burensis	nan	65	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermanaeromonas
520767	Thermovenabulum gondwanense	nan	65	Bacteria	Bacillota	Clostridia	Thermosediminibacterales	Thermosediminibacteraceae	Thermovenabulum
289376	Thermodesulfovibrio yellowstonii	DSM 11347	65	Bacteria	Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrionaceae	Thermodesulfovibrio
673860	Aciduliprofundum sp	MAR08-339	65	Archaea	Candidatus Thermoplasmatota				Aciduliprofundum
1874277	Conexivisphaera calidus	nan	65	Archaea	Nitrososphaerota	Conexivisphaeria	Conexivisphaerales	Conexivisphaeraceae	Conexivisphaera
1382356	Thermorudis peleae	nan	65	Bacteria	Thermomicrobiota	Thermomicrobia			Thermorudis
54294	Thermosyntropha lipolytica	nan	63	Bacteria	Bacillota	Clostridia	Eubacteriales	Syntrophomonadaceae	Thermosyntropha
405212	Alicyclobacillus acidocaldarius	nan	62,5	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus
639282	Deferribacter desulfuricans	SSM1	62,5	Bacteria	Deferribacterota	Deferribacteres	Deferribacterales	Deferribacteraceae	Deferribacter
206249	Desulfurobacterium crinifex	nan	62,5	Bacteria	Aquificota	Aquificae	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacterium
