CCUG Number	cond
55056T	Blood agar (or nutrient agar), 30-42°C, 24h
55049T	R2A, aerobic, 30°C, 72h
54980T	Chocolate agar or BHI agar, anaerobic, 37°C, 48-72h
54925T	BHI agar, anaerobic, 37°C, 48-72h
54928T	Nutrient agar, aerobic, 30-37°C
54934T	Nutrient agar, aerobic, 30°C
54935T	Nutrient agar, aerobic, 30-37°C
54936T	Nutrient agar, aerobic, 30-37°C
54937T	MRS agar (or blood agar), anaerobic (or CO2), 37°C, 48h
54938T	Blood agar, aerobic, 37°C
54939T	Blood agar, aerobic, 30-37°C
54940T	Nutrient agar, aerobic, 30-37°C
54941T	R2A agar, aerobic, 28°C
54942T	R2A, aerobic, 30°C, 48h
54943T	Chocolate agar, anaerobic, 37°C, 48h
54944T	Blood agar, aerobic, 30-37°C
54945T	Blood agar, aerobic, 37°C
54946T	Blood agar, aerobic, 30°C
54948T	Chocolate agar, anaerobic, 37°C, 48-72h
54949T	Blood or chocolate agar, anaerobic, 37°C, 48h
54950T	Nutrient agar, aerobic, 42°C
54951T	Chocolate agar, CO2, 37°
54952T	Blood agar, aerobic, 30-37°C
54912T	Blood agar, aerobic, 37°C
54913T	Blood agar, aerobic, 37°C
54896T	Marine agar, aerobic, 30°C
54880T	Blood agar, aerobic, 30°C
54881T	Blood agar, aerobic, 30°C
54871T	Chocolate or blood agar, CO2, 37°C
54844T	Blood agar may be used allthough 2-5%NaCl may be beneficial, aerobic, 30-37°C
54822T	TSA+10% NaCl, 37-42°C, 2 days
54775T	Marine agar (or blood agar), aerobic, 30-37°C
54777T	Nutrient agar, aerobic, 30-37°C
54778T	Blood agar, aerobic, 30°C
54779T	Blood or R2A agar, aerobic, 30°C
54781T	Blood agar, aerobic, 30°C, 48h
54784T	TSA, aerobic, 30°C, 3-4 days
54786T	Blood agar, aerobic, 30°C
54766T	Blood agar, anaerobic, 37°C, 48h
54769T	Chocolate (or blood agar), anaerobic, 37°C, 2 days
54772T	Chocolate agar, anaerobic, 37°C, 2-3 days
54744T	nan
54731T	Chocolate agar, CO2 or anaerobic, 37°C
54727T	nan
54728T	nan
54662T	R2A medium, aerobic, 30-37°C
54646T	Blood, TGE or R2A agar, aerobic, 37°C
54647T	Blood, TSA or R2A agar, aerobic, 37°C
54622T	TSA, aerobic, 30°C
54623T	TSA, aerobic, 30-42°C
54624T	Blood agar, aerobic, 37°C
54626T	MRS agar, aerobic, 30°C, 48h
54627T	Nutrient agar, aerobic, 28-37°C
54628T	TSA, aerobic, 21-37°C
54629T	TSA agar, aerobic, roomtemperature
54630T	Blood agar, aerobic, 30°C
54631T	Blood agar, aerobic, 30°C
54634T	Chocolate agar, anaerobic, 37°C, 48h
54635T	Chocolate agar, anaerobic, 37°C
54636T	Chocolate agar, anaerobic, 37°C
54639T	BHI agar, aerobic, 30°C
54553T	Marine agar, aerobic, 22°C, 2-3 days
54554T	Marine agar, aerobic, 22°C, 2-3 days
54555T	Blood agar, aerobic, 37°C
54558T	Blood agar, aerobic, 37°C
54561T	Blood agar, aerobic, 37°C
54564T	Blood agar, aerobic, 37°C
54567T	Blood agar, aerobic, 37°C
54571T	Blood agar, aerobic, 28°C
54573T	Blood agar, aerobic, 30°C
54547T	Blood or TSA agar, aerobic, 28-37°C, 24h
54535T	MRS agar, aerobic, 28°C, 24-48h
54536T	NA
54537T	Chocolate agar, CO2, 37°C
54538T	NA
54518T	NA
54519T	TSA or blood agar, aerobic, 30-42°C, 2 days
54520T	TSA or blood agar, aerobic, 30-42°C, 2 days
54521T	Blood agar, aerobic, 30°C, 3-5 days
54522T	R2A agar, aerobic, 30°C, 27 days
54523T	Blood agar, aerobic, 30-37°C, 1-2 days
54526T	Blood agar, aerobic, 37°C
54527T	TSA, aerobic, 18-25°C
54528T	TSA or blood agar, aerobic, 30°C, 48 hours
54529T	TSA or blood agar, aerobic, 37°C, 48h
54492T	TSA or blood agar, aerobic, 28-42°C, 24
54429T	Blood agar, microaerophilic (or anaerobic), (37-)42°C
54409T	Blood agar, anaerobic, 37°C
54389T	Chocolate agar, anerobic, 20-40°C, 2-3% NaCl
54354T	Marine agar, aerobic, 30°C, 1-2 days
54355T	Marine agar, aerobic, 30°C, 24-48h
54356T	Marine agar, 37°C, 2 days
54357T	Marine agar with 6% NaCl, 30°C, 7 days
54358T	Marine agar, 30°C, 2 days
54359T	Marine agar, 37°C, 3 days
54360T	Marine agar with 6% NaCl, 37°C, 3 days
54348T	TSA, aerobic, 30°C
54353T	Nutrient agar, aerobic, 30-37°C
54362T	Blood or MRS agar, anaerobic, 37°C, 48h
54350T	Chocolate agar, anaerobic, 37°C, 48h
54329T	NA
54308T	R2A agar, aerobic, 30°C
54309T	Marine agar, aerobic, 30-37°C, 24h
54311T	NA
54295T	Blood agar, aerobic, 30°C
54296T	Blood agar, aerobic, 30°C, 48h
54297T	Blood agar, aerobic, 37°C
54298T	Blood agar, aerobic, 37°C
54291T	Chocolate (or blood) agar, anaerobic, 37°C, 48h
54292T	Chocolate agar, anaerobic, 37°C, 48-72h
54232T	Blood or TSA agar, aerobic, 37°C, 24h
54233T	Chocolate agar, anaerobic, 37°C, 48h
54229T	Blood or chocolate agar, anaerobic, 37°C, 72h
53966T	Blood agar, aerobic, 35°C
53874T	Chocolate agar, CO2, 37°C
53875T	Chocolate agar, CO2, 37°C
53876T	FAA or chocolate agar, anaerobic, 37°C, 48-72h
53877T	Blood agar, aerobic, 30°C, 24h
53878T	NA
53879T	Blood agar, aerobic, 30-37°C
53882T	Chocolate agar, CO2, 37°C, 48h
53883T	NA
53884T	R2A agar, aerobic, 30°C
53885T	TSA, aerobic, 30°C
53887T	TSA, aerobic, 30-37°C
53889T	Chocolate agar, anaerobic, 37°C, 48h
53890T	Chocolate agar, anaerobic, 37°C, 48h
53892T	Chocolate agar, anaerobic, 37°C, 48h
53895T	Chocolate agar, microaerophilic or CO2, 37°C
53896T	Löwenstein-Jensen, CO2, 4-5 days
53898T	Blood agar, CO2, 37°
53899T	R2A or blood agar, aerobic, 22-30°C
53900T	Marine agar, aerobic, 30°C
53901T	MRS agar, aerobic, 30°C
53902T	Blood agar, aerobic, 30°C
53903T	Nutrient agar, aerobic, 30°C
53904T	Nutrient agar, aerobic, 30-37°C
53905T	Nutrient agar, aerobic, 30-37°C
53906T	Blood agar, aerobic, 30-37°C
53907T	Blood agar, aerobic, 37°C
53909T	Marine agar, aerobic, 30°C, 24-48h
53910T	TSA, aerobic, 30-37°C
53849T	BHI+5%NaCl agar (or marine agar), anaerobic, 37°C, 48h
53855T	Nutrient agar or blood agar, aerobic, 30-42°C, 24h
53856T	Blood agar, aerobic, 37°C, 24-48h
53857T	Chocolate agar, aerobic, CO2, 37°C, 48h
53859T	Blood agar, aerobic, 37°C, 24h
53827T	Chocolate agar, aerobic/CO2, 37°C, 48h
53828T	Chocolate agar, aerobic, 22-37°C
53830T	NA
53831T	Blood agar, CO2, 37°C
53833T	NA
53834T	R2A agar, aerobic, 30°C
53816T	Blood agar, microaerobic, 37°C, 48-72h
53819T	Chocolate agar, anaerobic, 37°C, 4 days
53805T	Blood agar +3% NaCl, microaerophilic, 22°C
53782T	Chocolate or blood agar, anaerobic, 37°C
53773T	TSA, aerobic, 30°C
53775T	NA
53671T	TGE agar, aerobic, 30°, 2-3 days
53761 AT	Blood agar, aerobic, 37°C
53762T	Blood agar, aerobic, 30-37°C, 48 hours
53722T	Modified Biebl and Pfennig's medium, 25-30°C, 2000 LUX (fluorescent light), anaerobic or Nutrient agar, aerobic, 30°C
53723T	NA
53682T	TSA or blood agar, aerobic, 22-30°C
53683T	Blood or R2A agar, aerobic, 30°C, 48h
53648T	Blood agar, anaerobic, 37°C
53645T	NA
53626T	Chocolate agar, CO2 or anaerobic, 37°C, 24-48h
53607T	NA
53608T	R2A, aerobic, 30°C, 2 days
53609T	NA
53610T	R2A, aerobic, 30-45°C, 48h
53611T	Nutrient agar, aerobic, 30°C, 2-3 days
53612T	NA
53613T	Marine agar, aerobic, 37°C, 24h
53614T	NA
53604T	Blood agar or TSA agar, aerobic, 30°C, 4 days
53595T	TSA, aerobic, 30-37°C, 24h
53596T	TSB agar, aerobic, 30-37°C, 24h
53591T	Blood or TGE agar, aerobic, 30°C
53584T	Löwenstein-Jensen medium, aerobic or CO2, 35°C, 7-10 days
53555T	Chocolate agar, aerobic, 22-37°C
53534T	Blood or marine agar, aerobic, 30-37°C
53519T	Blood agar, aerobic, 37°C
53521T	Blood agar, aerobic, 37°C
53522T	Chocolate agar, CO2, 37°C
53480T	Blood agar, CO2, 37°C
53463T	R2A, aerobic, 30°C, 48h
53462T	R2A, aerobic, 30°C, 48h
53453T	MRS agar, anaerobic, 30-37°C
53443T	Blood agar, aerobic, 30°C
53377T	Chocolate agar, CO2, 37°C
53370T	TGE or R2A agar, aerobic, 30°C
53340T	Blood agar, anaerobic, 37°C, 48h
53341T	Blood agar, anaerobic, 37°C, 48h
53342T	Blood agar, anaerobic, 37°C, 48h
53270T	Blood agar, aerobic, 37°C
53252T	NA
53230T	Blood agar, aerobic, 30-37°C
53213T	Heart infusion agar, 5% rabbit blood, CO2, 37°C, 7 days
53174T	MRS-5 medium, aerobic or anaerobic, 30°C, 24h
53151T	BHI agar, aerobic, 22-42°C, 48h
53152T	Nutrient agar, aerobic, 22-42°C
53114T	Nutrient agar, aerobic, 30°C
53115T	LB media + isopimaric acid, aerobic, 30°C
53116T	Blood agar, aerobic, 30°C
53117T	TGE agar, aerobic, 30°C, 24h
52993T	Blood agar or TSA, aerobic, 28°C, 48h
53006T	Blood agar or TSA, aerobic, 28°C, 6 days
52977T	Prereduced chocolate agar, anaerobic, 37°C, 48h
52969T	Blood agar, CO2, 37°C
52972T	Chocolate agar, CO2, 37°C
52917T	Marine agar, aerobic, 30-37°C
52896T	TSA, aerobic, 30-37°C, 48h
52897T	TSA, aerobic, 30°C
52898T	TSA, aerobic, 30°C
52900T	Blood agar, aerobic, 30°C
52901T	Chocolate agar, CO2, 37°C
52902T	TSA, aerobic, 30-37°C
52903T	Marine agar, aerobic, 30°C
52904T	Blood agar, aerobic, 30-37°C
52867T	Blood agar, aerobic, 30°C
52872T	NA
52882T	Blood agar, aerobic, 30°C
52863T	Marine agar, aerobic, 30°C, 24-48h
52860T	Blood agar, aerobic, 37°C, 24h
52861T	Blood agar, CO2, 37°C, 24h
52843T	MRS-5 medium, aerobic or anaerobic, 30°C, 24h
52837T	Blood agar, aerobic, 8-22°C, 9 days
52767T	R2A, aerobic, 30°C
52769T	Nutrient agar, aerobic, 30°C, chemolithotropic growth with hydrogen
52764T	Nutrient agar, aerobic, 37°C
52711T	Nutrient agar, aerobic, 37°C
52648T	Chocolate agar, anaerobic, 37°C, 4 days
52597T	Blood agar, CO2, 37°C
52598T	Blood agar, CO2, 37°C
52575T	R2A agar, aerobic, 30°C
52546T	TSA, aerobic, 30°C
52547T	TSA, aerobic, 30°C
52548T	TSA, aerobic, 30-37°C
52549T	TSA, aerobic, 30-37°C
52536T	Chocolate agar, aerobic, 30°C
52537T	Nutrient agar, aerobic, 20-30°C, pH 7.0-7.5
52530T	Chocolate agar, CO2, 37°C
52521T	Marine agar, aerobic, 28°C
52510T	TSA or blood agar, aerobic, 30°C
52513T	Blood agar or R2A, aerobic, 30°C, 3 days
52462T	Blood agar, aerobic, 30-37°C
52467T	Nutrient agar, aerobic, 30-42°C
52468T	NA
52470T	NA
52475T	R2A, aerobe, 30°C
52477T	TSA, aerobic, 30°C
52478T	Nutrient agar, aerobic, 30-37°C
52417T	Blood agar, microaerophilic, 37°C
52418T	Blood agar, microaerophilic, 37°C
52419T	Blood agar, microaerophilic, 37°C
52420T	Blood agar, microaerophilic, 37°C
52421T	Blood agar, microaerophilic, 37°C
52422T	Nutrient agar, aerobic, 37°C
52395T	Nutrient agar, aerobic, 30°C
52397T	TSA, aerobic, 22-37°C
52398T	Blood agar, aerobic, 30-37°C, 48h
52342T	Nutrient agar, aerobic, 22-30°C
52344 AT	TSA or blood agar, aerobic, 37°C
52345T	Trypto casein soy agar, aerobic, 30°C
52346T	Chocolate agar, anaerobic, 37°C
52350T	NA
52307T	Chocolate agar, CO2, 37°C
52313T	Chocolate agar, CO2, 37°C
52263T	MRS agar, anaerobic, 30°C, 4 days
52213T	TGE, aerobic, 30°C
52214T	Blood agar, aerobic, 30°C, 3 days
52217T	TGE or TSA, aerobic, 37-42°C
52238T	Nutrient agar, aerobic, 30-37°C
52239T	MRS agar, microaerophilic, 30°C
52242T	Blood agar, aerobic, 37°C
52243T	Blood agar, aerobic, 30-37°C
52219T	Blood agar, aerobic, 37°C
52222T	Blood agar, aerobic, 37°C
52203T	Blood agar, anaerobic, 37°C
52204T	Chocolate agar, anaerobic, 37°C
52199T	BHI-agar+10% horse blood+Vitox+15ug/ml amphotericin B(depositor).Blood agar, microaerophilic, 37°, 48h
52183T	Marine agar, 30°C, 48h
52161T	Blood agar, CO2, 4 days
52167T	Blood agar, CO2, 4 days
52169T	Blood agar, CO2, 4 days
52174T	Blood agar, CO2, 4 days
52126T	Nutrient agar, aerobic, 30°C, 48h
52119T	NA
52064T	Marine agar, aerobic, 25°C, slow grower
52066T	Marine agar, aerobic, 25°C
52049T	Chocolate agar, CO2, 37°C
52030T	TSA, aerobic, 37°C, 48h
52015T	NA
51999T	Chocolate agar, CO2, 37°C, 4 days
51961T	Löwenstein-Jensen or 7H10 medium, aerobic or CO2, 35°C, 7-10 days
51943T	TSA, aerobic, 30°C
51944T	Marine agar, aerobic, 30°C, 48h
51945T	Nutrient agar, aerobic, 30-42°C
51940T	Marine agar, aerobic, 30-37°C, 24h
51923T	TSA, aerobic, 30°C
51928T	Nutrient agar, aerobic, 37°C, 24h
51929T	Blood agar, anaerobic, 37°C
51930T	Blood agar, aerobic, 30°C
51931T	Blood agar, aerobic, 30°C
51932T	Chocolate agar, CO2, 37°C
51933T	Blood agar, anaerobic, 37°C
51934T	Blood agar, anaerobic, 37°C
51935T	Chocolate agar, anaerobic, 37°C, >3 days
51936T	Blood agar, aerobic, 37°C
51937T	Blood agar/Chocolate agar, anaerobic, 37°C
51897T	Middelbrook 7H10 agar, CO2, 37°C, slowly growing
51857T	Chocolate or blood agar, microaerophilic or CO2, 37°C, 48h
51858T	Chocolate agar, anaerobic, 37°C, pH7, 48h
51855T	Marine medium, aerobic, 12°C, but will grow at -12°C
51817T	R2A agar, aerobic, 42-45°C, 48h
51779T	TGE or R2A agar, aerobic, 28-30°C, 2-3 days
51768T	Nutrient agar, aerobic, 26-30°C
51657T	Blood agar, aerobic, 30-37°C
51564T	Nutrient agar, aerobic, 30-37°C
51536T	TSA, aerobic, 1-2 days
51503T	Blood agar, aerobic, 22-30°C
51504T	TSA, aerobic, 30°C
51505T	Blood agar, aerobic, 20-30°C
51507T	Blood agar, aerobic, 30°C
51508T	NA
51509T	TSA or blood agar, aerobic, 30°C
51510T	TSA or TGE, aerobic, 30-37°C, 24h
51511T	TSA, aerobic, 30°C
51512T	Nutrient agar, aerobic, 21-28°C
51513T	Blood agar, aerobic, 30°C, 24h
51514T	TSA or Nutrient agar, aerobic, 30°C
51515T	TSA or blood agar, aerobic, 30°C
51516T	Nutrient agar, aerobic, 30-37°C
51517T	Nutrient agar, aerobic, 28°C
51518T	NA
51519T	Blood agar, aerobic, 30°C
51520T	TSA or blood agar, aerobic, 30°C
51522T	TSA, aerobic, 22-30°C
51523T	TSA, aerobic, 30°C, 48h
51524T	Blood agar, aerobic, 30°C
51486T	BHI agar, anaerobic, 37°C, 24h
51487T	Chocolate or blood agar, anaerobic, 37°C, 7days
51464T	Chocolate agar, anaerobic, 37°C, 4 days
51442T	Blood agar or TSA or Marine agar, aerobic, 30-37°C
51443T	Blood agar, aerobic, 30°C
51445T	Nutrient agar, aerobic, 25°C
51432T	Blood agar, CO2, 37°C
51397T	Blood agar, aerobic, 37°C
51391T	Nutrient agar, aerobic, 22-37°C
51354T	Blood agar, aerobic, 37°C
51349T	Blood agar (or nutrient agar), aerobic, 25-37°C
51321T	Blood agar, aerobic, 37°C
51323T	Nutrient agar, aerobic, 30-37°C
51325T	MRS agar, anaerobic, 30°C, 48h
51327T	NA
51328T	Nutrient agar, aerobic, 30-37°C
51329T	TSA, aerobic, 22-37°C
51308T	Blood agar, CO2, 37°C
51312T	Nutrient agar, aerobic, 30-37°C
51290T	MRS agar, anaerobic, 30°C or Chocolate agar, CO2, 37°C
51270T	Blood agar, aerobic, 37°C
51256T	Blood agar, aerobic, 37°C
51248T	Nutrient agar, aerobic, 30°C
51249T	Nutrient agar, aerobic, 30°C
51246T	R2A (or TSA/TGE), aerobic, 20°C, 4 days
51224T	Chocolate agar, anaerobic, 37°C, 48h
51221T	Chocolate agar, CO2, 4 days
51222T	Chocolate agar, CO2, 4 days
50989T	7H10 agar (Löwenstein-Jensen medium), CO2(aerobic), 37°C, ? days
50992T	7H10, CO2, 37°C
50996T	NA
50998T	NA
50988T	Blood agar, aerobic, 37°C
50970T	Nutrient agar or TSA, aerobic, 28°C, 24h
50949T	Blood agar, aerobic, 30-42°C
50930T	Chocolate agar or blood agarSUPPLY
50924T	Nutrient agar, aerobic, 28-37°C
50898T	Nutrient agar, aerobic, 30-37°C
50899T	Blood agar, aerobic, 30°C
50881T	Nutrient agar, aerobic, 30°C
50882T	TGE, R2A, TSA or blood agar, aerobic, 30-37°C, 24h
50883T	Blood agar, aerobic, 30°C
50875T	Blood agar, aerobic, 37°C
50858T	Chocolate agar, CO2, 37°C
50837T	Chocolate agar or 7H10 agar, aerobic, 30-37°C
50838T	Chocolate agar or 7H10 agar, aerobic, 30-37°C
50787T	MRS agar, anaerobic, 37°C
50765T	Blood agar, aerobic, 30-37°C
50766T	Nutrient agar or blood agar, aerobic, 30°C
50767T	Blood agar or nutrient agar, aerobic, 30-42°C
50768T	Nutrient agar, aerobic, 30°C
50769T	Blood agar (or nutrient agar), aerobic, 30°C
50770T	NA
50771T	NA
50773T	Chocolate agar, CO2, ? days
50774T	NA
50775T	Chocolate agar, CO2, 37°C
50776T	NA
50777T	TSA agar, CO2, 37°C
50778T	TSA or blood agar, aerobic, 30-37°C
50779T	Nutrient agar, aerobic, 30°C
50780T	Blood agar, aerobic, 30°C
50783T	NA
50754T	TSA, aerobic, 30-37°C
50755T	NA
50739T	Marine agar, aerobic, 30°C
50740T	NA
50741T	NA
50742T	Blood agar or marine agar, aerobic, 22-35°C
50743T	Nutrient agar, aerobic, 30-37°C
50705T	Nutrient agar, aerobic, 22-42°C
50593T	Nutrient agar, aerobic, 30°C, 24h
50579T	Blood agar, aerobic, 26-30-37°C
50580T	Nutrient agar, aerobic, 26-30-37°C
53409T	R2A agar, aerobic, 30°C, 3 days
53410T	Chocolate agar, aerobic, 30°C, 3 days
50528T	BHI agar or blood agar, anaerobic, 37°C
50616T	Rich chocolate medium, CO2 and anaerobic, 37°C, 3 days
51053T	NA
51058T	Blood agar, aerobic, 37°C
51061T	Blood or TSA agar, 30-37°C
51064T	NA
51067T	Chocolate agar, CO2, 37°C, 48h
51068T	Chocolate agar, CO2, 37°C, 48h
51069T	Chocolate agar, CO2, 37°C, 48h
51073T	NA
51075T	Blood agar, aerobic, 30°C, 48h
51390T	NA
50446T	Blood agar or BHI agar, anaerobic, 37°C
50447T	Blood agar, CO2, 37°C
50418T	Blood agar, anaerobic, 37°C, 48h
50419T	Blood agar, anaerobic, 37°C, 72h
50398T	Middlebrook 7H10 agar+5% sheep blood, aerobic, 30°C
50347T	TSYE, aerobic, 28°C
50348T	Nutrient agar, aerobic, 30°C
50349T	Blood agar, aerobic, 30°C
50350T	TSYE, aerobic, 28°C
50352T	Nutrient agar, aerobic, 37°C
50353T	Nutrient agar, aerobic, 30°C
50354T	Nutrient agar, aerobic, 30°C
50333T	R2A, aerobic, 42°C
50209T	Nutrient agar, 30-42°C
50212T	TSA, CO2, 37°C
50213T	Nutrient agar, aerobic, 30-37°C
50214T	Special medium(MAR), anaerobic, 56°C, 4 days
50200T	Nutrient agar, aerobic, 26-42°C
50202T	Nutrient agar, aerobic, 22-37°C
50207T	NA
50208T	Nutrient agar, aerobic, 28°C
50184T	Middlebrook 7H10 agar or blood agar, aerobic, 37°C, 48-72h
50185T	Chocolate agar, CO2, 37°C, 48h (Formerly
50186T	Blood agar, aerobic, 30°C, 48h
50187T	Middlebrook 7H10 agar or blood agar, aerobic, 30-37°C
50159T	Nutrient agar, aerobic, 37°C
50160T	Nutrient agar, aerobic, 30°C
50161T	Nutrient agar, aerobic, 30°C
50162T	MRS agar, anaerobic, 37°C
50163T	MRS agar, anaerobic, 37°C
50105T	Chocolate agar, anaerobic, 30-37°C, 2-3 days
50093T	Chocolate agar, CO2, 37°C
50090T	TSA or blood agar, aerobic, 30-37°C
50091T	NA
50051T	Chocolate agar, blood agar, BHI agar, anaerobic, 37°C
50052T	Chocolate agar, anaerobic, 37°C
50053T	TGY agar or blood agar, anaerobic, 37°C, 72h
50033T	10% tryptic soy agar
50001T	Nutrient agar, aerobic, 26-37°C
49965T	Müller-Hinton agar, aerobic, 37°C (10-41°C)
49949T	MRS, aerobic, 28°C or MRS anaerobic, 30-37°C
49773T	Blood agar, CO2, 37°C, 1-2 days
49732T	Chocolate agar, anaerobic, 42-56°C, 2-3 days
49733T	Chocolate agar, anaerobic, 37°C
49715T	Nutrient agar, 22-42°C
49701T	Chocolate or blood agar, aerobic, 30°C
49689T	TGE agar, strict aerobic, 22-37°C
49690T	Blood agar, CO2 or anaerobic, 37°C
49675T	Blood agar or TSA, aerobic, 30°C
49676T	TSA or TGY agar, aerobic, 30-37°C
49679T	NA
49622T	TSA or TGE, aerobic, 22-35°C
49623T	Trypto Casein Soy Agar, aerobic, 30°C
49624T	Blood agar, aerobic, 22-30°C
49625T	Blood agar or nutrient agar, aerobic, 20-30°C, 48h
49613T	TGY or BHI agar, anaerobically, 30°C
49583T	TGE agar, aerobic, 22-30°C, 48h
49584T	Nutrient agar, aerobic, 30°C
49571T	TSA, aerobic, 37°C
49566T	BHI agar, anaerobic, 56°C, 3 days
49558T	NA
49560T	Marine agar, aerobic, 28°C
49562T	Marine agar, aerobic, 28°C
49563T	Marine agar, aerobic, 30°C, 2-3 days
49543T	TSA or Blood agar, 30-37°C
49529T	Blood agar, aerobic, 30-37°C
49520T	Blood agar, aerobic, 37°C, 48h
49454T	Blood agar, R2A, TSA, PCA, aerobic, 30-42°C, 1-2 days
49455T	Blood agar, CO2, 37°C
49457T	Chocolate agar, CO2, 48h
49459T	Chocolate agar, CO2, 37°C
49444T	R2A, aerobic, 30°C, 48h
49445T	R2A, aerobic, 30°C, 3 days
49446T	R2A, aerobic, 30°C, 48h
49447T	Blood agar, aerobic, 30°C
49448T	TSA, blood agar, R2A, aerobic, 30-37°C
49449T	TGE or R2A, aerobic, 22-30°C
49450T	TGE agar or R2A medium, aerobic, 28°C, 3 days
49452T	R2A, aerobic, 30°C, 3 days
49453T	Nutrient agar, aerobic, 22-37°C
49434T	Marine agar, aerobic, 24-26°C, 48h
49435T	Marine agar, aerobic, 24-26°C, 48h
49437T	Marine agar, aerobic, 24-26°C, 48h
49438T	Marine agar, aerobic, 22-30°C, 48h
49353T	MRS agar, anaerobic, 30°C
49339T	R2A medium, aerobic, 30°C, 3 days
49340T	TSA agar, aerobic, 28°C
49291T	Chocolate agar, anaerobic, 37°C, 3 days
49271T	Nutrient agar or blood agar, aerobic, 30-37°C
49250T	Blood agar, anaerobic, 37°C
49060T	Blood agar, aerobic, 30°C, 48h
49050T	Brucella 10% blood agar with Skirrow antibiotics or standard blood agar, microaerophilic, 37°C, 2-5 days
49018T	Chocolate agar (or blood agar), aerobic, 30°C, 5-12 days
49019T	NA
49021T	Blood agar or nutrient agar, aerobic, 30°C
49022T	Nutrient agar, aerobic, 37°C
49024T	Blood agar or BHI agar, aerobic, 30°C
49009T	TGE agar, aerobic, 22°C
49012T	R2A medium, aerobic, 22°C, 5 days
48991T	Blood agar or nutrient agar, aerobic, 30°C
48943T	Blood agar, anaerobic, 37°C, 24h
48944T	Chocolate agar, anaerobic, 37°C, 24h
48945T	Chocolate agar, anaerobic, 37°C, 24h
48946T	Chocolate agar, anaerobic, 37°C, 24h
48947T	Chocolate agar, anaerobic, 37°C, 24h
48939T	Nutrient agar, aerobic, 30-37°C
48923T	Blood agar or nutrient agar, aerobic, 37°C
48881T	Legionella agar, CO2, 37°C, 72h
48898T	Chocolate agar, CO2, 37°C, 2-3days
48901T	Blood agar, anaerobic, 37°C
48877T	Blood agar, aerobic, 30°C
48879T	Blood agar, aerobic, 30°C
48880T	Legionella agar, CO2, 37°C
48882T	Now nutrient agar, aerobic, 30°C
48883T	Chocolate agar or blood agar, anaerobic, 30°C
48884T	Blood agar or TGE agar, aerobic, 22-42°C
48885T	Chocolate agar or blood agar, anaerobic, 37°C
48887T	Nutrient agar, aerobic, 22-37°C
48867T	Blood agar, aerobic, 30°C
48868T	TSA, aerobic, 22-30°C
48869T	NA
48849T	Blood agar, CO2, 37°C
48851T	Blood agar, aerobic, 30-37°C
48852T	Blood agar, aerobic, 30-37°C
48854T	Nutrient agar or blood agar, aerobic, 26-37°C
48855T	Blood agar, aerobic, 30°C
48837T	TGYH, anaerobic, 37°C, 48-72h
48820T	Blood agar, aerobic, 30°C, 48h
48821 AT	Chocolate agar, anaerobic, 37°C
48821 BT	Chocolate agar, anaerobic, 37°C
48822T	Chocolate agar, CO2, 37°C
48825T	Blood agar, aerobic, 24-30°C
48826T	aerobic, 28°C
48799T	NA
48800T	BHI agar, aerobic, 30°C
48750T	Legionella medium, aerobic, 42°C
48751T	Blood agar, aerobic, 30°C, 72h
48752T	Blood agar, aerobic, 30-37°C
48726T	R2A agar, aerobic, 30°C, 5 days
48727T	R2A agar, aerobic, 30°C, 5 days
48729T	BHI agar, anaerobic, 37°C
48703T	Chocolate agar, CO2, 37°C
48664T	Blood agar or BHI agar, aerobic, 30°C
48665T	Marine agar, aerobic, 30°C
48653T	Blood agar, microaerophilic, 37°C
48654T	TSA, aerobic, 37°C
48655T	TSA, aerobic, 26-37°C
48656T	NA
48642T	MRS agar, anaerobic, 30°C
48643T	Marine agar, aerobic, 30°C
48644T	Marine agar, aerobic, 30°C
48615T	Chocolate agar, anaerobic, 37°C, 48hr
48567T	Received as active culture, chocolate agar, anaerobic, 37°C, 3-5 days
48573T	R2A or blood agar, aerobic, 30°C
48558T	Nutrient agar, aerobic, 30°C
48494T	NA
48482T	Blood agar, microaerobic, 28-37°C
48484T	Chocolate agar or blood agar, anaerobic, 37°C
48488T	Chocolate agar, CO2, 37°C
48471T	Blood agar, anaerobic, 37°C
48454T	MRS agar, anaerobic, 37°C
48456T	MRS agar, anaerobic, 37°C
48459T	MRS agar, anaerobic, 37°C
48460T	MRS agar, anaerobic, 37°C, 3 days
48462T	MRS agar, anaerobic, 37°C
48464T	Blood agar, CO2, 37°C
48434T	NA
48435T	TGY, TSA or blood agar, aerobic, 22°C
48437T	NA
48438T	TSA, aerobic, 28-37°C
48399T	Blood agar, anaerobic, 37°C
48363T	Blood agar, CO2, 37°C
48335T	Blood agar, microaerophilic, 37°C, 5-10 days, high humidity may be essential
48324T	Blood agar, CO2, 37°C
48315T	Chocolate agar, anaerobic, 37°C
48316T	Nutrient agar, aerobic, 30°C
48317T	TGE, R2A or blood agar, aerobic, 30°C
48318T	R2A medium or low nutrient 'Aquabacterium' medium, aerobic, 30°C
48319 BT	Marine agar, aerobic, 30°C
48320T	Nutrient agar, aerobic, 30-37°C
48288T	Blood agar, anaerobic, 37°C, 72h
48291T	Nutrient agar, aerobic, 30°C, will grow at 10-37°C
48295T	Blood agar, aerobic, 30-37°C
48296T	Blood agar, aerobic, 30-37°C
48298T	Chocolate agar, CO2, 37°C
