CCUG Number	cond
67440T	Blood agar, aerobic, 30°C
67421T	Chocolate agar, anaerobic, 37°C, 48h
67281T	Blood agar, aerobic, 30°C, 24h
67170T	?? agar, CO2, 37°C
67145T	Chocolate agar, anaerobic, 30°C, 48h
67100T	Chocolate or blood agar, CO2, 37°C
66934T	Marine agar, aerobic, 30°C, 48h
66838T	Blood agar, microaerobic or CO2, 37°C, 48h
66798T	Chocolate agar, anaerobic, 37°C, 48-72h
66799T	Chocolate agar, anaerobic, 37°C, 48-72h
66741T	Blood agar, aerobic, 30°C
66735T	FAA agar, anaerobic, 37°C, 3d
66681T	Blood/FAA agar, anaerobic, 37°C, 2d
66657T	Blood or chocolate agar, anaerobic, 37°C, 6-7 days
66554T	7H10 or GL agar, CO2, 37°C, 48h
66538T	Legionella agar, CO2, 37°C, 24-48h
66539T	Blood agar, aerobic, 30°C
66540T	Blood or R2A, aerobic, 30°C
66541T	Marine agar, aerobic, 20°C
66513T	Marine agar, aerobic, 30°C
66514T	Blood or Chocolate agar, CO2, 37°C
66515T	Blood agar, aerobic, 30-37°C
66516T	Blood or Chocolate agar, CO2, 37°C
66490T	Chocolate agar, CO2 or anaerobic, 37°C
66491T	Blood agar, CO2, 37°C
66492T	Chocolate agar, CO2, 37°C
66496T	Blood or chocolate agar, CO2, 37°C
66484T	Blood agar, microaerobic, 37°C, 48h
66485T	Blood agar, microaerobic, 37°C, 48h
66341T	Legionella agar, CO2, 37°C, 3-5 days
66315T	Chocolate or blood agar, anaerobic, 37°C
66298T	Blood agar, aerobic 30°C
66239T	Marine agar, aerobic, 30°C, 72h
66203T	Chocolate or blood agar, CO2/anaerobic
66188T	Blood agar, aerobic or anaerobic, 30°C
66137T	Blood or TGEagar, aerobic, 30°C, 72h
66121T	7H10 agar, CO2, 5-7days
66114T	MRS agar, anaerobic, 37°C, 3dayz
65936T	Legionella agar, CO2, 37°C, 2 days
65911T	Chocolate agar, anaerobic, 37°C, 2-3 days
65857T	Blood agar, CO2, 37°C
65815T	Chocolate agar, CO2, 37°C, 48h
65816T	Chocolate agar, CO2, 37°C, 48h
65711T	Blood or marine agar, aerobic, 30°C
65685T	Blood agar, aerobic, 30°C
65686T	Blood agar, aerobic, 30°C
65687T	Blood agar, aerobic, 30°C
65562T	Chocolate or FAA agar, anaerobic, 37°C
65563T	Blood or chocolate agar, anaerobic, 37°C, 48h
65564T	Blood agar, aerobic, 30-37°C
65455T	Chocolate or blood agar, CO2, 37°C
65456T	Chocolate or blood agar, CO2, 37°C
65457T	R2A agar, aerobic, 30°C
65431T	R2A agar, aerobic, 30°C, 5 days
65426T	FAA agar, anaerobic, 37°C, 4 days, very tiny growth
65427T	Chocolate agar, anaerobic, 37°C, 2 days
65204T	Blood agar, aerobic, 30-37°C, 24h
65171T	Chocolate or blood agar, anaerobic, 37°C, 24h
65144T	Chocolate agar, CO2, 37°C, 24h
65145T	Chocolate agar, CO2, 37°C, 24h
65146T	Chocolate or blood agar, CO2, 37°C, 24h
65148T	Chocolate or blood agar, CO2, 37°C, 24h
65085T	Chocolate or blood agar, CO2, 37°C, 24h
64955T	Marine agar, aerobic, 30°C, 72h
64942T	FAA agar, anaerobic, 37°C, 48h
64792T	Marine agar, aerobic, 30°C, 48h
64793T	Marine agar, aerobic, 30°C, 48h
64794T	Marine agar, aerobic, 30°C, 48h
64585T	Chocolate agar, CO2, 37°C, 24h
64570T	Chocolate agar, anaerobic, 37°C, 48h
64571T	Chocolate agar, anaerobic, 37°C, 48h
64483T	Blood agar, aerobic, 30°C
64465T	Blood agar, aerobic, 30°C
64422T	Blood or TSA agar, aerobic, 30°C, 48h
64368T	Blood agar, aerobic, 30°C, 24h
64352T	TSA agar, aerobic, 30-37°, 24h
64267T	Chocolate agar, anaerobic, 37°C, 24h
64261T	Chocolate agar, anaerobic, 37°C, 48h
64215T	Blood agar, aerobic, 30°C, 24h
64195T	Blood or FAA agar, anaerobic, 37°C, 1d
64197T	Chocolate agar, anaerobic, 37°C, 1d
64165T	Blood agar, aerobic, 37°C, 24h
64113T	Blood agar, aerobic, 37°C, 24h
64075T	Chocolate or FAA agar, anaerobic, 37°C, 48h
64068T	Blood or chocolate agar, anaerobic, 37°C, 72h
64069T	Blood or chocolate agar, CO2, 37°C, 48h
64011T	Blood agar, aerobic, 37°C
64013T	Chocolate agar, anaerobic, 37°C
64014T	Blood agar, aerobic, 30°C
64016T	Blood agar, aerobic, 30°C
63931T	Chocolate agar, CO2, 37°C, 4 days
63891T	Marine agar, aerobic, 30°C, 1 day
63842T	Blood agar, aerobic, 30°C
63829T	Marine agar, aerobic, 30°C
63830T	Marine agar, aerobic, 30°C
63831T	Marine agar, aerobic, 30°C
63832T	Marine agar, aerobic, 30°C
63821T	Chocolate or TSA agar, CO2, 37°C, 48h
63804T	Blood agar, aerobic, 30°C, 1 day
63805T	Blood agar, aerobic, 30°C, 3 days
63806T	R2A agar, aerobic, 30°C, 2 days
63769T	Marine agar, aerobic, 30°C, 2 days
63681T	Marine agar, 20°C
63682T	Marine agar, aerobic, 30°C, 48h
63684T	Marine agar, aerobic, 30°C
63629T	MRS agar, anaerobic, 37°C, 3 days
63631T	MRS agar, anaerobic, 37°C, 2-3 days
63633T	MRS or Chocolate agar, anaerobic, 30-37°C
63563T	Blood agar, aerobic, 37°C
63528T	Marine agar, aerobic, 30°C, 2 days
63529T	Chocolate agar, anaerobic, 37°C, 48h
63415T	Marine agar, aerobic, 30°C, 1-2 weeks
63416T	Marine agar, aerobic, 30°C, 48h
63418T	R2A agar, aerobic, 30°C, 48h
63419T	R2A agar, aerobic, 20°C, 5 days
63391T	FAA agar, anaerobic, 37°C, 48h
63367T	Spec.salt(DSMZ med 549), aerobic, 30°C, 18-20d
63368T	Spec.salt (DSMZ med 1258), aerobic, 30°C, 20-25d
63369T	Marine agar, aerobic, 30°C, 14 days
63370T	Spec.salt(DSMZ med 549), aerobic, 30°C, 21-25 days
63371T	Blood or chocolate, aerobic/CO2, 37°C, 7d
63372T	Chocolate, CO2, 37°C
63373T	Blood agar, aerobic, 30-37°C, 24h
63287T	MRS agar, CO2, 37°C, 3 days
63289T	MRS agar, anaerobic, 37°C, 3 days
63291T	Chocolate agar, anaerobic, 37°C, 3 days
63301T	MRS agar, anaerobic, 37°C, 3 days
63270T	Blood or TSA, agar, aerobic, 37°C, 24h
63246T	Marine agar, aerobic, 30°C, 24h
63247T	Marine agar, aerobic, 30°C, 48h
63249T	Blood, agar, aerobic, 30°C, 24h
63250T	Chocolate agar, aerobic, 30°C, 7d
63059T	TGE agar, aerobic, 30°C
63060T	Blood agar, aerobic, 30°C
63061T	TGE agar, aerobic, 30°C
63062T	Blood agar, aerobic, 30°C
63063T	TGE agar, aerobic, 30°C, >3 days
63018T	R2A agar, aerobic, 30°C, 7-10d
63019T	Blood agar, aerobic, 30°C
63020T	Blood agar, aerobic, 30°C, 1d
63021T	Blood agar, aerobic, 30°C, 2d
63022T	Blood agar, aerobic, 30°C, 1d
62990T	Chocolate agar, CO2, 37°C, 1d
62991T	Chocolate agar, CO2, 37°C, 1d
62994T	Blood agar, aerobic, 30°C, 1d
62987T	NA
62981T	Marine, aerobic, 30°C, 48h
62982T	R2A, aerobic, 30°C, 48h
62977T	Blood agar, aerobic, 30°C
62965T	Spec.salt agar, aerobi, 20-30°C, 18-20d
62969T	R2A agar, aerobic, 30°C, 1d
62970T	R2A agar, aerobic, 30°C, 6-10 days
62971T	R2A agar, aerobic, 30°C, 6-10days
62974T	TGE agar, aerobic, 30°C, 7-10 days
62952T	Marine agar, aerobic, 30°C, 1-2 days
62953T	Marine agar, aerobic, 30°C, 2-3 days
62945T	Blood or R2A agar, aerobic, 20°C, 2-3 days
