Name	Strain	Temp	Source_ID	Genome
Staphylococcus aureus	NCTC 10443	37	CECT 82	
Staphylococcus aureus	NCTC 8532	37	CECT 86	GCA_001027105.1; GCA_000330825.2
Rhizobium radiobacter	ATV	26	CECT 88	
Rhizobium radiobacter	C-58	26	CECT 90	
Pseudomonas savastanoi	NCPPB 1464	26	CECT 93	
Pseudomonas syringae	NCPPB 1652	26	CECT 94	
Xanthomonas campestris	NCPPB 528	30	CECT 97	GCA_000007145.1
Pediococcus acidilactici	ATCC 8042	30	CECT 98
Escherichia coli	NCIMB 8666	37	CECT 99	
Escherichia coli	NCIB 9485	37	CECT 100
Escherichia coli	NCIMB 9484	37	CECT 101
Escherichia coli	NCIMB 9483	37	CECT 102	
Escherichia coli	Ferrer 12	37	CECT 103	
Escherichia coli	GY1	37	CECT 104	
Escherichia coli	GY4054	37	CECT 105	
Escherichia coli	GY 36	37	CECT 106	
Escherichia coli	C	30	CECT 107
Pseudomonas aeruginosa	ATCC 27853	37	CECT 108
Pseudomonas aeruginosa	NCIMB 9685	37	CECT 109
Pseudomonas aeruginosa	NCIMB 8295	37	CECT 110	GCA_001042925.1
Pseudomonas aeruginosa	NCIMB 8626	37	CECT 111
Stenotrophomonas maltophilia	Diaz 552	37	CECT 112	
Stenotrophomonas maltophilia	555	37	CECT 113	
Stenotrophomonas rhizophila	NCPPB 1975	37	CECT 114	
Stenotrophomonas maltophilia	NCIMB 9203	37	CECT 115	GCA_000597745.1
Pseudomonas aeruginosa	NCIMB 10421	37	CECT 116	
Burkholderia caryophylli	NCPPB 349	26	CECT 117	
Pseudomonas aeruginosa	NCTC 10662	37	CECT 118	
Pseudomonas aeruginosa	NCIMB 8704	37	CECT 119	
Pseudomonas corrugata	NCPPB 2445	26	CECT 124	GCA_001411965.1; GCA_900106085.1; GCA_001269905.1
Ralstonia solanacearum	NCPPB 1493	30	CECT 125	
Pseudomonas syringae	NCPPB 996	26	CECT 126	
Pseudomonas syringae	NCPPB 93	26	CECT 127	
Robbsia andropogonis	NCPPB 968	30	CECT 128	
Bacillus cereus	NCIMB 7464	30	CECT 131	
Klebsiella pneumoniae	NCTC 7761	37	CECT 141	
Klebsiella pneumoniae	CIP 53.153	37	CECT 142	
Klebsiella pneumoniae	NCTC 9633	37	CECT 143	GCA_000614665.1
Klebsiella pneumoniae	ATCC 27736	37	CECT 144	
Alcaligenes faecalis	NCTC 415	37	CECT 145	
Bacillus cereus	NCTC 2599	30	CECT 148	GCA_000007825.1
Domibacillus aminovorans	NCTC 2870	30	CECT 151	
Bacillus pumilus	NCTC 8241	30	CECT 152	
Paenibacillus polymyxa	NCTC 4747	30	CECT 153	
Paenibacillus polymyxa	NCTC 10343	30	CECT 155	GCA_000217775.1
Hafnia alvei	NCIMB 6578	30	CECT 157	
Hafnia alvei	NCTC 8105	30	CECT 158	GCA_000735375.1
Serratia marcescens	NCTC 1377	26	CECT 159	
Proteus vulgaris	NCIMB 8067	37	CECT 165	
Providencia alcalifaciens	NCTC 10286	37	CECT 166	GCA_000173415.1
Proteus vulgaris	NCTC 4635	37	CECT 167	
Providencia alcalifaciens	NCTC 6344	37	CECT 168	
Providencia alcalifaciens	NCTC 6345	37	CECT 169	
Proteus mirabilis	NCIMB 5887	37	CECT 170	
Providencia rettgeri	NCTC 7475	37	CECT 171	
Proteus mirabilis	NCIB 60	37	CECT 172	
Morganella morganii	NCTC 235	37	CECT 173	GCA_001598895.1
Proteus vulgaris	ATCC 6380	37	CECT 174	
Streptococcus agalactiae	NCTC 8181	37	CECT 183	GCA_000186445.1
Enterococcus faecalis	NCIMB 8256	37	CECT 184	
Lactococcus lactis	NCIMB 6681	37	CECT 185	GCA_000615405.1
Lactococcus lactis	NCIMB 10484	30	CECT 188	
Streptococcus pyogenes	NCIMB 8884	37	CECT 189	
Streptococcus pyogenes	ATCC 27762	37	CECT 190	
Streptococcus pyogenes	ATCC 19615	37	CECT 191	
Staphylococcus aureus	NCIMB 8709	37	CECT 192	
Bacillus cereus	NCIMB 8849	30	CECT 193	
Enterobacter cloacae	ATCC 13047	30	CECT 194	
Bacillus thuringiensis	NCIMB 9134	30	CECT 197	GCA_002119445.1; GCA_002243685.1
Azotobacter chroococcum	NCIMB 8003	30	CECT 203	
Azotobacter vinelandii	NCIMB 8004	30	CECT 204	
Azotobacter chroococcum	NCIMB 8515	30	CECT 205	
Azotobacter vinelandii	Str 4	30	CECT 208	
Azomonas agilis	NCIMB 8636	30	CECT 210	
Streptococcus equinus	NCTC 8177	37	CECT 213	
Leuconostoc mesenteroides	NCIMB 3739	26	CECT 215	
Levilactobacillus brevis	NCIMB 8561	30	CECT 216	
Oenococcus oeni	DSM 20252	26	CECT 217	GCA_000309445.1
Oenococcus oeni	CCM 2834	26	CECT 218	
Leuconostoc mesenteroides	NRRL B-1118	26	CECT 219	GCA_000014445.1
Lactiplantibacillus plantarum	NCIMB 8014	30	CECT 220	
Lactiplantibacillus plantarum	ATCC 14431	30	CECT 221	
Erwinia amylovora	NCPPB 595	30	CECT 222	
Lactiplantibacillus plantarum	19-E-1	30	CECT 223	
Lactiplantibacillus plantarum	20 E1	30	CECT 224	
Pectobacterium carotovorum	NCPPB 312	30	CECT 225	GCA_000749855.1; GCA_001039055.1
Pseudomonas marginalis	NCPPB 667	26	CECT 229	
Kocuria varians	CCUG 35392	30	CECT 230
Staphylococcus epidermidis	NCIMB 8853	37	CECT 231
Staphylococcus epidermidis	ATCC 14990	37	CECT 232	GCA_001310935.1
Staphylococcus hominis	DSM 20328	37	CECT 234	GCA_002901845.1
Staphylococcus saprophyticus	DSM 20229	37	CECT 235	GCA_002902025.1
Staphylococcus warneri	DSM 20316	37	CECT 236	GCA_002901765.1
Staphylococcus xylosus	DSM 20266	37	CECT 237	GCA_002732165.1
Staphylococcus aureus	NCIMB 9518	37	CECT 239
Staphylococcus aureus	ATCC 6538P	37	CECT 240
Kocuria rhizophila	CIP 53.45	30	CECT 241	
Micrococcus luteus	NCIB 10418	30	CECT 243	
Micrococcus luteus	NCIB 8994	30	CECT 244	
Micrococcus luteus	NCIMB 8166	30	CECT 245	
Kocuria varians	NCIMB 2677	30	CECT 246	
Micrococcus luteus	NCIB 8942	30	CECT 247	
Lacticaseibacillus rhamnosus	NCIMB 8963	37	CECT 275	
Lacticaseibacillus rhamnosus	NCIMB 8651	37	CECT 276	
Lacticaseibacillus paracasei	NCIB 8835	30	CECT 277	
Lacticaseibacillus rhamnosus	NCIMB 8010	37	CECT 278	GCA_000615245.1
Enterococcus hirae	NCIMB 6459	37	CECT 279	GCA_000393835.1; GCA_000407425.1
Lactobacillus delbrueckii	NCIMB 8118	37	CECT 282	
Weissella viridescens	NCIMB 8965	30	CECT 283	GCA_001437355.1; GCA_001460875.1
Limosilactobacillus fermentum	NCIMB 6991	37	CECT 285	
Lactobacillus delbrueckii	NCIMB 8130	37	CECT 286	GCA_000615095.1; GCA_001433875.1; GCA_001263315.1
Lactobacillus delbrueckii	NCIMB 8117	37	CECT 287	
Lacticaseibacillus rhamnosus	NCIMB 7473	37	CECT 288	
Lactobacillus johnsonii	NCIMB 8795	37	CECT 289	
Enterococcus durans	NCIB 8191	37	CECT 294	
Acetobacter aceti	NCIMB 8621	26	CECT 298	GCA_000193495.1
Rhodobacter sphaeroides	NCIMB 8253	26	CECT 300	GCA_000269625.2; GCA_000273405.1
Rhodospirillum rubrum	NCIMB 8255	26	CECT 301	GCA_000013085.1
Delftia acidovorans	NCIMB 9681	30	CECT 311	GCA_001598795.1
Pseudomonas syringae	NCCPB 1408	26	CECT 312	
Brevundimonas diminuta	DSM 1635	30	CECT 313	
Pectobacterium atrosepticum	NCPPB 549	30	CECT 314	GCA_000749905.1; GCA_001038685.1
Gluconobacter oxydans	NCIB 4112	26	CECT 315	
Brevundimonas diminuta	NCIMB 9393	30	CECT 317	GCA_000204035.1
Pseudomonas oleovorans	NCIMB 9946	30	CECT 318	
Pseudomonas mendocina	NCIMB 10541	37	CECT 320	GCA_000813265.1
Pseudomonas syringae	NCPPB 52	26	CECT 321	
Burkholderia cepacia	NCIMB 9085	30	CECT 322	
Shewanella baltica	NCTC 10735	26	CECT 323	GCA_900456975.1
Pseudomonas putida	NCIMB 9494	30	CECT 324	GCA_000412675.1
Pseudomonas sp	NCTC 10475	30	CECT 325	
Comamonas testosteroni	NCIMB 8955	30	CECT 326	GCA_000740035.1
Brevundimonas vesicularis	NCIMB 1945	30	CECT 327	GCA_001592205.1
Pseudomonas sp	ATCC 15915	30	CECT 328	
Ralstonia pickettii	NCTC 11149	30	CECT 330	GCA_000743455.1
Ensifer adhaerens	IAM 1013	30	CECT 333	
Escherichia coli	NCTC 9706	37	CECT 348	
Escherichia coli	NCTC 8623	37	CECT 349	
Escherichia coli	NCTC 9026	37	CECT 351	
Escherichia coli	NCTC 9707	37	CECT 352
Bacillus subtilis	NCIB 8054	30	CECT 356
Gluconobacter oxydans	NCIB 621	26	CECT 360	
Clostridium butyricum	NCIMB 7423	37	CECT 361	GCA_000409755.1
Lactobacillus acidophilus	NCIB 8116	37	CECT 362	
Escherichia coli	NCTC 1601	37	CECT 363	
Escherichia coli	NCIMB 8583	37	CECT 364	
Klebsiella sp	NCTC 9161	37	CECT 367	
Bacillus megaterium	NCIMB 8291	30	CECT 370	
Bacillus subtilis	NCIB 8057	30	CECT 371	
Lactobacillus delbrueckii	NCIMB 8882	37	CECT 372	
Paenibacillus chibensis	NCIB 8144	30	CECT 375	
Clostridium perfringens	NCTC 8237	37	CECT 376	GCA_000013285.1
Clostridium pasteurianum	NCIMB 9486	37	CECT 377	GCA_000807175.1; GCA_000807255.1; GCA_000724205.1
Pseudomonas fluorescens	NCIMB 9046	30	CECT 378	GCA_001269845.1
Escherichia coli	NCIMB 8134	37	CECT 379	
Escherichia coli	NCTC 8603	37	CECT 380	
Escherichia coli	GY335	37	CECT 381	
Pseudomonas putida	NCIMB 8865	30	CECT 385	
Pseudarthrobacter oxydans	NCIMB 9333	30	CECT 386	
Pseudarthrobacter oxydans	NCIMB 9334	30	CECT 387	
Arthrobacter globiformis	NCIMB 8907	30	CECT 388	GCA_000238915.2
Halobacterium sp	S-9	37	CECT 389	
Megasphaera elsdenii	NCIMB 8927	37	CECT 390	GCA_000283495.2
Halococcus morrhuae	CCM 859	37	CECT 393	
Leuconostoc mesenteroides	NCIMB 8710	26	CECT 394	
Halobacterium salinarum	CCM 2148	37	CECT 395	
Aeromonas hydrophila	NCIMB 9233	30	CECT 398
Citrobacter freundii	NCTC 9750	37	CECT 401	GCA_000312465.1; GCA_000734905.1; GCA_000759735.1
Lactobacillus helveticus	NCIMB 8652	37	CECT 402	
Lactobacillus helveticus	NCFB 100	37	CECT 403	
Lactobacillus helveticus	NCIMB 8115	37	CECT 404	
Escherichia coli	NCIB 8879	37	CECT 405	
Enterococcus faecalis	NCIMB 9695	37	CECT 407	
Enterococcus faecalis	NCIMB 8886	37	CECT 408	
Salmonella enterica	NCTC 8385	37	CECT 409	GCA_000007545.1; GCA_900456745.1
Enterococcus faecium	NCTC 7171	37	CECT 410	GCA_001544255.1
Enterococcus durans	NCTC 8307	37	CECT 411	GCA_001544215.1
Shigella sonnei	NCTC 9774	37	CECT 413	
Lactobacillus helveticus	NCIMB 8025	37	CECT 414	
Escherichia coli	ATCC 27325	37	CECT 416	
Escherichia coli	Starlinger 1045	37	CECT 417	
Escherichia coli	Ferrer 5	37	CECT 418	
Rhodococcus corynebacterioides	NCIMB 9433	37	CECT 420	GCA_001646675.1; GCA_001894765.1
Caulobacter vibrioides	NCIMB 9082	30	CECT 421	
Myxococcus xanthus	NCIMB 9412	26	CECT 422	GCA_900106535.1
Escherichia coli	NCIMB 9481	37	CECT 423	
Escherichia coli	NCIMB 9482	37	CECT 424	
Escherichia coli	K-12 185 nalidixic acid-resistant	37	CECT 425	
Escherichia coli	ATCC 23589	37	CECT 426	
Escherichia coli	NCIMB 9553	37	CECT 428	
Escherichia coli	MC4100	37	CECT 429	
Escherichia coli	NCIMB 10223	37	CECT 431	
Escherichia coli	ATCC 21026	37	CECT 432	
Escherichia coli	NCIMB 10083	37	CECT 433	
Escherichia coli	ATCC 25922	37	CECT 434	
Staphylococcus aureus	ATCC 25923	37	CECT 435	
Vibrio alginolyticus	NCTC 10675	30	CECT 436	
Staphylococcus aureus	NCTC 8530	37	CECT 438	
Bordetella bronchiseptica	ATCC 4617	37	CECT 440	
Acinetobacter calcoaceticus	NCIMB 10694	30	CECT 441	GCA_000368965.1
Acinetobacter bereziniae	NCIMB 9019	30	CECT 442
Salmonella enterica	NCTC 74	37	CECT 443
Microbacterium laevaniformans	DSM 20140	30	CECT 445
Pseudomonas fragi	NCIMB 8542	26	CECT 446	GCA_002091615.1
Elizabethkingia meningoseptica	NCTC 10016	37	CECT 447	GCA_000401415.1; GCA_000367325.1
Alcaligenes faecalis	NCTC 10416	37	CECT 448	
Achromobacter denitrificans	NCTC 8582	30	CECT 449	GCA_001571365.1
Bacillus sp	P-1	30	CECT 450	
Acinetobacter baumannii	NCTC 7844	30	CECT 452	
Acinetobacter lwoffii	LMG 1029	37	CECT 453	GCA_000369105.1
Bordetella bronchiseptica	NCTC 452	37	CECT 455	
Salmonella enterica	NCTC 5800	37	CECT 456	
Shigella sonnei	ATCC 11060	37	CECT 457	
Pseudomonas viridiflava	NCPPB 635	26	CECT 458	GCA_001305955.1
Escherichia coli	NCIMB 9527	37	CECT 459	
Moraxella osloensis	NCTC 10465	37	CECT 460	GCA_001553955.1; GCA_001679175.1
Bacillus subtilis	168t+	30	CECT 461	
Pseudomonas chlororaphis	NCIMB 9030	26	CECT 462	
Moraxella nonliquefaciens	CCUG 348	37	CECT 465	GCA_001679005.1
Nocardioides simplex	NCIMB 8929	26	CECT 466	GCA_900114845.1
Achromobacter xylosoxidans	CCUG 12689	30	CECT 467	
Moraxella bovis	CCUG 2133	37	CECT 468	GCA_002014975.1
Staphylococcus aureus	ATCC 29737	37	CECT 469	
Escherichia coli	ATCC 27257	37	CECT 470	
Escherichia coli	NCIMB 9132	37	CECT 471	
Rhizobium radiobacter	ATCC 15955	26	CECT 472	
Komagataeibacter xylinus	NCIMB 5346	30	CECT 473	
Acetobacter sp	NCIMB 7215	26	CECT 474	
Lacticaseibacillus casei	DSM 20011	37	CECT 475	GCA_000829055.1; GCA_000615205.1
Rhizobium rhizogenes	NCPPB 1855	26	CECT 476	
Rhizobium rhizogenes	ATCC 15834	26	CECT 477	
Rhizobium rhizogenes	A4	26	CECT 478	
Streptococcus mutans	DSM 20523	37	CECT 479	GCA_900475095.1; GCA_000347875.1
Enterococcus faecalis	NCIMB 775	37	CECT 481	GCA_000392875.1
Bacillus subtilis	DSM 618	30	CECT 482	
Serratia liquefaciens	ATCC 27592	26	CECT 483	GCA_000422085.1
Proteus hauseri	NCTC 4175	37	CECT 484
Clostridium sporogenes	NCTC 532	37	CECT 485
Clostridium perfringens	NCTC 8239	37	CECT 486	
Actinomyces viscosus	DSM 43327	37	CECT 488	
Bacillus licheniformis	ATCC 27811	45	CECT 491	
Bacillus amyloliquefaciens	NCIMB 10785	37	CECT 493	
Chromobacterium violaceum	NCTC 9757	26	CECT 494	GCA_000007705.1
Bacillus cereus	ATCC 21769	30	CECT 495	
Bacillus cereus	ATCC 21772	30	CECT 496	
Bacillus subtilis	ATCC 6051a	30	CECT 497	
Bacillus subtilis	ATCC 21770	30	CECT 498	
Bacillus subtilis	NRRL B-3411	30	CECT 499	
Yersinia enterocolitica	API 21	30	CECT 500	
Escherichia coli	NCTC 10650	37	CECT 501	
Escherichia coli	NCTC 9045	37	CECT 503	
Escherichia coli	NCTC 10674	37	CECT 504	
Clostridium beijerinckii	NCIMB 8052	37	CECT 508	
Dickeya dianthicola	NCPPB 1609	30	CECT 509	
Bacillus pumilus	NCIMB 10822	30	CECT 510	
Vibrio parahaemolyticus	ATCC 17802	30	CECT 511	GCA_001011015.1
Vibrio cholerae	NCTC 7254	30	CECT 512	
Vibrio cholerae	NCTC 7270	30	CECT 513	
Vibrio cholerae	NCTC 8021	30	CECT 514	GCA_000621645.1
Escherichia coli	NCTC 9001	37	CECT 515	GCA_000690815.1
Escherichia coli	NCIMB 8545	37	CECT 516
Klebsiella pneumoniae	NCTC 10896	37	CECT 517	
Pseudomonas aeruginosa	NCTC 10701	37	CECT 519	
Staphylococcus aureus	NCTC 10702	37	CECT 520
Vibrio alginolyticus	NCIMB 1903	30	CECT 521	GCA_000467145.1; GCA_000354175.2
Vibrio anguillarum	NCIMB 6	30	CECT 522	GCA_001989995.1
Vibrio campbellii	NCIMB 1894	26	CECT 523	GCA_002163755.1
Aliivibrio fischeri	NCIMB 1281	26	CECT 524	GCA_001312625.1
Vibrio harveyi	NCIMB 1280	26	CECT 525	GCA_000400305.1; GCA_001263135.1
Vibrio natriegens	NCIMB 857	30	CECT 526	GCA_000438785.2; GCA_001680025.1
Vibrio natriegens	NCIMB 1900	30	CECT 527	
Vibrio splendidus	NCIMB 1	26	CECT 528	GCA_001558015.1; GCA_002737025.1
Vibrio vulnificus	ATCC 27562	30	CECT 529	GCA_000299635.1; GCA_001591065.1
Bradyrhizobium japonicum	DSM 30131	26	CECT 530	
Clostridioides difficile	NCIMB 10666	37	CECT 531	GCA_001077535.2
Pseudomonas aeruginosa	NCTC 6749	37	CECT 532	
Escherichia coli	NCTC 8196	37	CECT 533	
Staphylococcus aureus	NCTC 4163	37	CECT 534	
Leifsonia aquatica	NCIMB 9460	30	CECT 535	GCA_000469485.1
Corynebacterium flavescens	NCIMB 8707	30	CECT 536	GCA_001941465.1
Corynebacterium striatum	NCIMB 9956	37	CECT 538	
Lactococcus lactis	NCDO 496	30	CECT 539	
Lactococcus lactis	NCIMB 10493	30	CECT 540	
Lactobacillus helveticus	NCFB 30	37	CECT 541	
Shigella sonnei	CIP 63.10	37	CECT 542	
Escherichia coli	CIP 55.30	37	CECT 543	
Dermacoccus nishinomiyaensis	CCM 2140	30	CECT 544	GCA_900447535.1
Salmonella enterica	NCTC 6017	37	CECT 545	
Xanthomonas albilineans	NCPPB 290	30	CECT 546	
Xanthomonas axonopodis	NCPPB 457	30	CECT 548	GCA_001401595.1; GCA_001304695.1
Xanthomonas fragariae	NCPPB 1469	30	CECT 549	GCA_900380235.1
Paraclostridium bifermentans	NCTC 506	37	CECT 550
Clostridium botulinum	NCTC 7272	37	CECT 551	
Vibrio cholerae	NCTC 3661	30	CECT 552	
Clostridium sporogenes	NCIMB 8053	37	CECT 553	
Salmonella enterica	Alcaide 403	37	CECT 554	
Rhodococcus hoagii	DSM 20307	30	CECT 555	GCA_000473915.1; GCA_001552575.1
Salmonella enterica	Alcaide 669	37	CECT 556	
Bordetella bronchiseptica	NCTC 452	37	CECT 558	GCA_001598655.1
Yersinia enterocolitica	NCTC 10460	30	CECT 559	
Zymomonas mobilis	NCIMB 11199	30	CECT 560	
Bacillus coagulans	DSM 2312	30	CECT 561	
Limosilactobacillus fermentum	DSM 20055	37	CECT 562	
Clostridium perfringens	NCTC 10239	37	CECT 563	
Staphylococcus aureus	NCIMB 8244	37	CECT 567	
Escherichia coli	NCTC 10487	37	CECT 568	
Vibrio cholerae	ATCC 25870	30	CECT 569	
Companilactobacillus alimentarius	DSM 20249	30	CECT 570	GCA_001434745.1; GCA_002849895.1
Companilactobacillus farciminis	DSM 20184	30	CECT 571	GCA_000184535.1; GCA_001434775.1; GCA_002706745.1
Weissella minor	DSM 20014	30	CECT 572	GCA_001437425.1
Weissella halotolerans	DSM 20190	30	CECT 573	GCA_001436865.1
Halomonas pacifica	ATCC 27122	26	CECT 574	
Pseudoalteromonas haloplanktis	ATCC 19855	26	CECT 576	
Microbacterium maritypicum	ATCC 19260	30	CECT 578	
Pseudoalteromonas atlantica	NCIMB 301	26	CECT 579	
Clostridium botulinum	NCTC 2916	37	CECT 581	
Vibrio ordalii	NCIMB 2167	26	CECT 582	GCA_000257205.1
Shigella boydii	CCUG 9564	37	CECT 583	
Shigella dysenteriae	CCUG 9565	37	CECT 584	GCA_900457215.1
Shigella flexneri	CCUG 9566	37	CECT 585	
Vibrio alginolyticus	CCUG 4990	30	CECT 586	
Vibrio parahaemolyticus	CCUG 4991	30	CECT 588	
Vibrio parahaemolyticus	CCUG 13447	30	CECT 589	
Azospirillum brasilense	DSM 1690	30	CECT 590	GCA_001315015.1; GCA_002027385.1; 
Desulfotomaculum nigrificans	NCIMB 8351	55	CECT 591	
Acetivibrio thermocellus	DSM 1237	55	CECT 593	GCA_000015865.1
Thermoanaerobacter thermohydrosulfuricus	DSM 567	60	CECT 594	
Vibrio nereis	NCIMB 1897	26	CECT 595	GCA_001591105.1
Zymomonas mobilis	NRRL B-806	30	CECT 596	GCA_000175255.2
Plesiomonas shigelloides	CNCTC Aer2/65	30	CECT 597	
Sphingomonas paucimobilis	CCUG 6518	30	CECT 599	GCA_000739895.2
Vibrio alginolyticus	Pujalte 22	30	CECT 600	
Vibrio alginolyticus	Pujalte 63	30	CECT 601	
Vibrio alginolyticus	Pujalte 149	30	CECT 603	
Vibrio harveyi	Pujalte 20	26	CECT 604	
Vibrio harveyi	Pujalte 102	26	CECT 605	
Vibrio harveyi	Pujalte 158	26	CECT 606	
Vibrio harveyi	Pujalte 76	26	CECT 607	
Vibrio harveyi	Pujalte 35	26	CECT 608	
Vibrio alginolyticus	Pujalte 143	30	CECT 609	
Vibrio alginolyticus	Pujalte 153	30	CECT 610	
Vibrio parahaemolyticus	Pujalte 10	30	CECT 611	
Vibrio parahaemolyticus	Pujalte 67	30	CECT 612	
Vibrio parahaemolyticus	Pujalte 130	30	CECT 613	
Vibrio mediterranei	Pujalte 104	26	CECT 615	
Vibrio splendidus	Pujalte 118	26	CECT 618	
Vibrio pelagius	Pujalte 55	26	CECT 619	
Vibrio pelagius	Pujalte 56	30	CECT 620	
Vibrio mediterranei	Pujalte 50	26	CECT 621	GCA_900088415.1; GCA_001591125.1
Vibrio mediterranei	Pujalte 85	26	CECT 622	
Vibrio mediterranei	Pujalte 84	26	CECT 623	
Vibrio aestuarianus	NCIMB 2236	26	CECT 625	
Photobacterium damselae	NCIMB 2184	26	CECT 626	GCA_000176795.1
Vibrio diazotrophicus	NCIMB 2169	26	CECT 627	GCA_000740015.1
Vibrio nigripulchritudo	NCIMB 1904	26	CECT 628	GCA_000222685.2
Vibrio orientalis	NCIMB 2195	26	CECT 629	GCA_000176235.1; GCA_000222645.1
Vibrio proteolyticus	NCIMB 1326	26	CECT 630	GCA_000467125.1
Vibrio tubiashii	NCIMB 1336	26	CECT 631	
Vibrio mytili	Pujalte 165	26	CECT 632	GCA_000830505.1
Vibrio mytili	Pujalte 163	26	CECT 633	
Vibrio mytili	Pujalte 185	26	CECT 634	
Vibrio cholerae	Colwell V69	30	CECT 651	
Vibrio cholerae	Lou15	30	CECT 652	
Vibrio cholerae	Huq D-17451	30	CECT 653	
Vibrio cholerae	TK 17481	30	CECT 654	
Vibrio cholerae	D-17642	30	CECT 655	
Vibrio cholerae	TK 17121	30	CECT 656	
Vibrio cholerae	TK 17599	30	CECT 657	
Vibrio cholerae	M-17153	30	CECT 658	
Vibrio cholerae	M-17151	30	CECT 659	
Escherichia coli	NCTC 50504	37	CECT 663	
Escherichia coli	NCTC 50237	37	CECT 670	
Escherichia coli	DH5 alpha YCplac 111	37	CECT 674	
Escherichia coli	DH5 alpha YEplac 181	37	CECT 675	
Escherichia coli	NCTC 50193	37	CECT 678	
Escherichia coli	NCTC 50192	37	CECT 679	
Klebsiella aerogenes	DSM 30053	30	CECT 684	
Escherichia coli	E8775-A	37	CECT 685	
Escherichia coli	E8775-C	37	CECT 686	
Bifidobacterium dentium	DSM 20436	37	CECT 687	GCA_000771725.1; GCA_001042595.1
Escherichia coli	K12 HB101 / 739	37	CECT 689	
Corynebacterium glutamicum	NCIMB 10026	30	CECT 690	
Sporolactobacillus laevolacticus	NCIMB 10269	30	CECT 692	GCA_000497245.1
Sporolactobacillus laevolacticus	NCIMB 10274	30	CECT 693	
Paracoccus denitrificans	NCIMB 8944	30	CECT 694	
Salmonella enterica	NCTC 8053	37	CECT 699	
Salmonella enterica	Alcaide 838	37	CECT 700	
Salmonella enterica	Alcaide 213	37	CECT 701	
Salmonella enterica	Alcaide 39	37	CECT 702	
Salmonella enterica	Alcaide 832	37	CECT 703	
Salmonella enterica	Alcaide 1038	37	CECT 704	
Salmonella enterica	Alcaide 261	37	CECT 705	
Salmonella enterica	Alcaide 870	37	CECT 707	
Salmonella sp	Alcaide 31	37	CECT 708	
Salmonella enterica	LT2	37	CECT 722	GCA_000006945.1
Salmonella enterica	NCTC 8391	37	CECT 723	
Salmonella enterica	NCTC 10789	37	CECT 724	
Salmonella enterica	NCTC 10787	37	CECT 725	
Escherichia coli	Guanabara	37	CECT 726	
Escherichia coli	Stoke W	37	CECT 727	
Escherichia coli	W26	37	CECT 728	
Escherichia coli	Aberdeen 1064	37	CECT 729	
Escherichia coli	Su 3912/41	37	CECT 730	
Escherichia coli	CDC 3219-54	37	CECT 731	
