ncbiTaxID	Genome	Superkingdom	Phylum	Class	Order	Family	Genus
1458253	GCA_002096675.1	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
1458253	GCA_002096695.1	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
1458253	GCA_002860885.1	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
1458253	GCA_003944205.1	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
1871047	GCA_003455905.1	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium
1871047	GCA_003524725.1	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium
1871047	GCA_003537025.1	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium
1871047	GCA_011525415.1	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium
1871086	GCA_003447065.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
1871086	GCA_003451235.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
1871086	GCA_003484285.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
1871086	GCA_012269935.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
1871086	GCA_016463795.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
1891233	GCA_018382355.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas
1962857	GCA_002878175.1	Bacteria	Campylobacterota	Desulfurellia	Desulfurellales	Desulfurellaceae	Desulfurella
2024855	GCA_002696915.1	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Rhodopirellula
2026795	GCA_028866655.1	Archaea	Nitrososphaerota				
2026795	GCA_028866725.1	Archaea	Nitrososphaerota				
2026795	GCA_028866895.1	Archaea	Nitrososphaerota				
2026795	GCA_028867035.1	Archaea	Nitrososphaerota				
2026795	GCA_028867215.1	Archaea	Nitrososphaerota				
2026795	GCA_028867315.1	Archaea	Nitrososphaerota				
2026795	GCA_028867415.1	Archaea	Nitrososphaerota				
2026795	GCA_028867565.1	Archaea	Nitrososphaerota				
2026795	GCA_028867595.1	Archaea	Nitrososphaerota				
2026795	GCA_028867615.1	Archaea	Nitrososphaerota				
2026795	GCA_028867635.1	Archaea	Nitrososphaerota				
2026795	GCA_028867675.1	Archaea	Nitrososphaerota				
2026795	GCA_028867735.1	Archaea	Nitrososphaerota				
2026795	GCA_028867755.1	Archaea	Nitrososphaerota				
2026795	GCA_028867785.1	Archaea	Nitrososphaerota				
2026795	GCA_028867815.1	Archaea	Nitrososphaerota				
2026795	GCA_028867835.1	Archaea	Nitrososphaerota				
2613924	GCA_022782185.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Hungatella
2613924	GCA_022784085.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Hungatella
2675058	GCF_902729325.1	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium
2885156	GCA_026636295.1	Eukaryota	Chlorophyta	Trebouxiophyceae			
