Temp	Name	Strain
28	Photorhabdus asymbiotica	
28	Photorhabdus luminescens	
28	Photorhabdus temperata	
28	Saccharothrix espanaensis	
28	Staphylococcus succinus	
28	Sulfurospirillum deleyianum	
28	Xanthomonas albilineans	
28	Xanthomonas axonopodis	
28	Xanthomonas campestris	
28	Xanthomonas fragariae	
28	Xanthomonas oryzae	
28	Xanthomonas sacchari	
28	Xanthomonas translucens	
28	Xanthomonas vesicatoria	
28	Xenorhabdus bovienii	
28	Xenorhabdus nematophila	
28	Xenorhabdus poinarii	
28	Xylanimonas cellulosilytica	
28,5	Actinoalloteichus hymeniacidonis	
28,5	Alcaligenes faecalis	
28,5	Erwinia amylovora	
28,5	Erwinia billingiae	
28,5	Erwinia pyrifoliae	
28,5	Obesumbacterium proteus	
28,5	Ochrobactrum anthropi	
28,5	Pectobacterium carotovorum	
28,5	Yersinia aldovae	
28,5	Yersinia enterocolitica	
28,5	Yersinia frederiksenii	
28,5	Yersinia intermedia	
28,5	Yersinia kristensenii	
28,5	Yersinia pestis	
28,5	Yersinia pseudotuberculosis	
28,5	Yersinia rohdei	
28,5	Yersinia ruckeri	
29	Actinosynnema mirum	
29	Bacillus atrophaeus	
29	Bacillus subtilis	
29	Bacillus vallismortis	
29	Ketogulonicigenium robustum	
29	Ketogulonicigenium vulgare	
29	Kribbella flavida	
29	Mesoplasma florum	
29	Myxococcus fulvus	
29	Nitrobacter hamburgensis	
29	Nitrobacter winogradskyi	
29	Nocardiopsis gilva	
29	Owenweeksia hongkongensis	
29	Paenibacillus peoriae	
29	Pontibacter akesuensis	
29	Porphyrobacter neustonensis	
29	Pseudomonas resinovorans	
29	Rhodopirellula baltica	
29	Turneriella parva	
29,5	Aeromonas hydrophila	
29,5	Elizabethkingia meningoseptica	
29,5	Elizabethkingia miricola	
29,5	Pragia fontium	
30	Acetobacter aceti	
30	Acetobacter pasteurianus	
30	Acetobacterium woodii	
30	Acholeplasma brassicae	
30	Acholeplasma palmae	
30	Allochromatium vinosum	
30	Bacillus simplex	
30	Brevibacillus brevis	
30	Brevibacillus formosus	
30	Brevibacillus laterosporus	
30	Cellulomonas fimi	
30	Cellulomonas flavigena	
30	Chlorobium limicola	
30	Clostridium aceticum	
30	Clostridium saccharoperbutylacetonicum	
30	Corynebacterium ammoniagenes	
30	Cytophaga hutchinsonii	
30	Dehalobacter restrictus	
30	Deinococcus proteolyticus	
30	Deinococcus radiodurans	
30	Desulfitobacterium metallireducens	
30	Desulfocapsa sulfexigens	
30	Dokdonia donghaensis	
30	Enterobacter asburiae	
30	Enterobacter cloacae	
30	Enterobacter kobei	
30	Gemmatimonas aurantiaca	
30	Gluconacetobacter diazotrophicus	
30	Hafnia alvei	
30	Halothiobacillus neapolitanus	
30	Hydrogenovibrio crunogenus	
30	Hyphomicrobium denitrificans	
30	Ilyobacter polytropus	
30	Isoptericola dokdonensis	
30	Jonesia denitrificans	
30	Leptospira borgpetersenii	
30	Leptospira interrogans	
30	Leptospira santarosai	
30	Magnetospirillum gryphiswaldense	
30	Microbacterium aurum	
30	Microbacterium testaceum	
30	Muricauda ruestringensis	
30	Mycobacterium immunogenum	
30	Mycobacterium marinum	
30	Mycoplasma crocodyli	
30	Mycoplasma mobile	
30	Neisseria weaveri	
30	Oceanobacillus iheyensis	
30	Oligotropha carboxidovorans	
30	Paenibacillus polymyxa	
30	Paenibacillus terrae	
30	Paludibacter propionicigenes	
30	Pantoea agglomerans	
30	Pantoea ananatis	
30	Pantoea stewartii	
30	Paracoccus aminophilus	
30	Pediococcus pentosaceus	
30	Prosthecochloris aestuarii	
30	Pseudoalteromonas atlantica	
30	Pseudoalteromonas espejiana	
30	Pseudoalteromonas haloplanktis	
30	Pseudoalteromonas nigrifaciens	
30	Pseudoalteromonas piscicida	
30	Pseudoalteromonas rubra	
30	Pseudomonas chlororaphis	
30	Pseudomonas cichorii	
30	Pseudomonas citronellolis	
30	Pseudomonas mandelii	
30	Pseudomonas monteilii	
30	Pseudonocardia dioxanivorans	
30	Rahnella aquatilis	
30	Rhodomicrobium vannielii	
30	Robiginitalea biformata	
30	Rubrivivax gelatinosus	
30	Saprospira grandis	
30	Shewanella oneidensis	
30	Spiroplasma atrichopogonis	
30	Spiroplasma chrysopicola	
30	Spiroplasma kunkelii	
30	Spiroplasma sabaudiense	
30	Spiroplasma taiwanense	
30	Spiroplasma turonicum	
30	Staphylococcus equorum	
30	Staphylococcus xylosus	
30	Thiobacillus denitrificans	
30	Thiocystis violascens	
30	Treponema azotonutricium	
30	Treponema primitia	
30	Virgibacillus necropolis	
30,5	Mycobacterium vanbaalenii	
31	Acidiphilium multivorum	
31	Acidobacterium capsulatum	
31	Corynebacterium glutamicum	
31	Corynebacterium marinum	
31	Dermacoccus nishinomiyaensis	
31	Echinicola vietnamensis	
31	Mycobacterium aurum	
31	Mycobacterium chimaera	
31	Mycobacterium chubuense	
31	Mycobacterium gilvum	
31	Mycobacterium haemophilum	
31	Mycobacterium neoaurum	
31	Pelobacter acetylenicus	
31	Propionibacterium freudenreichii	
31,5	Staphylococcus saprophyticus	
32	Blastococcus saxobsidens	
32	Borreliella burgdorferi	
32	Clostridium saccharobutylicum	
32	Herbaspirillum frisingense	
32	Herbaspirillum rubrisubalbicans	
32	Herbaspirillum seropedicae	
32	Kytococcus sedentarius	
32	Marinobacter hydrocarbonoclasticus	
32	Rhodobacter sphaeroides	
32	Spiroplasma cantharicola	
