ncbiTaxID	Name	Identifier	Superkingdom	Phylum	Class	Order	Family	Genus
7739	Branchiostoma floridae	Branchiostoma_floridae	Eukaryota	Chordata	Leptocardii	Amphioxiformes	Branchiostomatidae	Branchiostoma
6279	Brugia malayi	brugia	Eukaryota	Nematoda	Chromadorea	Rhabditida	Onchocercidae	Brugia
3641	Theobroma cacao	cacao	Eukaryota	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Theobroma
6239	Caenorhabditis elegans	caenorhabditis	Eukaryota	Nematoda	Chromadorea	Rhabditida	Rhabditidae	Caenorhabditis
104421	Camponotus floridanus	camponotus_floridanus	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Camponotus
5476	Candida albicans	candida_albicans	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida
4929	Candida guilliermondii	candida_guilliermondii	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Meyerozyma
5482	Candida tropicalis	candida_tropicalis	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida
12993	Cassiopea xamachana	Cassiopea_xamachana	Eukaryota	Cnidaria	Scyphozoa	Rhizostomeae	Cassiopeidae	Cassiopea
38033	Chaetomium globosum	chaetomium_globosum	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium
9031	Gallus gallus	chicken	Eukaryota	Chordata	Aves	Galliformes	Phasianidae	Gallus
137246	Chiloscyllium punctatum	chiloscyllium	Eukaryota	Chordata	Chondrichthyes	Orectolobiformes	Hemiscylliidae	Chiloscyllium
3055	Chlamydomonas reinhardtii	chlamydomonas	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas
1157962	Chlamydomonas eustigma	Chlamydomonas_eustigma	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas
3071	Chlorella	chlorella	Eukaryota	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	
1764295	Chloropicon primus	Chloropicon_primus	Eukaryota	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloropicon
2039481	Chrysaora chesapeakei	Chrysaora_chesapeakei	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Chrysaora
7719	Ciona intestinalis	ciona	Eukaryota	Chordata	Ascidiacea	Phlebobranchia	Cionidae	Ciona
5501	Coccidioides immitis	coccidioides_immitis	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides
34488	Conidiobolus coronatus	Conidiobolus_coronatus	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus
5346	Coprinus cinereus	coprinus_cinereus	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis
49451	Nicotiana attenuata	coyote_tobacco	Eukaryota	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Nicotiana
37769	Cryptococcus neoformans gattii	cryptococcus_neoformans_gattii	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus
40410	Cryptococcus neoformans neoformans B	cryptococcus_neoformans_neoformans_B	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus
214684	Cryptococcus neoformans neoformans JEC21	cryptococcus_neoformans_neoformans_JEC21	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus
237895	Cryptosporidium hominis	Cryptosporidium_hominis	Eukaryota	Apicomplexa	Conoidasida	Eucoccidiorida	Cryptosporidiidae	Cryptosporidium
7176	Culex quinquefasciatus	culex	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex
29204	Cyclotella cryptica	Cyclotella_cryptica	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella
4959	Debaryomyces hansenii	debaryomyces_hansenii	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces
7590	Dermasterias imbricata	Dermasterias_imbricata	Eukaryota	Echinodermata	Asteroidea	Valvatida	Poraniidae	Dermasterias
3046	Dunaliella salina	Dunaliella_salina	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Dunaliellaceae	Dunaliella
83333	Escherichia coli K-12	E_coli_K12	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
2880	Ectocarpus siliculosus	Ectocarpus_siliculosus	Eukaryota		Phaeophyceae	Ectocarpales	Ectocarpaceae	Ectocarpus
7868	Callorhinchus milii	elephant_shark	Eukaryota	Chordata	Chondrichthyes	Chimaeriformes	Callorhinchidae	Callorhinchus
6035	Encephalitozoon cuniculi	Encephalitozoon_cuniculi	Eukaryota	Microsporidia			Unikaryonidae	Encephalitozoon
33169	Eremothecium gossypii	eremothecium_gossypii	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Eremothecium
1519565	Fistulifera solaris	Fistulifera_solaris	Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Fistulifera
7227	Drosophila melanogaster	fly	Eukaryota	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila
635003	Fragilariopsis cylindrus CCMP1102	Fragilariopsis_cylindrus_CCMP1102	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Fragilariopsis
5518	Fusarium graminearum	fusarium_graminearum	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
130081	Galdieria sulphuraria	galdieria	Eukaryota	Rhodophyta	Bangiophyceae	Galdieriales	Galdieriaceae	Galdieria
4874	Gigaspora margarita	gigaspora_margarita	Eukaryota	Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Gigaspora
1123529	Gonapodya prolifera	Gonapodya_prolifera	Eukaryota	Chytridiomycota	Monoblepharidomycetes	Monoblepharidales	Gonapodyaceae	Gonapodya
34740	Heliconius melpomene	heliconius_melpomene1	Eukaryota	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Heliconius
5037	Histoplasma capsulatum	histoplasma_capsulatum	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Histoplasma
7460	Apis mellifera	honeybee1	Eukaryota	Arthropoda	Insecta	Hymenoptera	Apidae	Apis
9606	Homo sapiens	human	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo
6087	Hydra vulgaris	Hydra_vulgaris	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Hydridae	Hydra
85433	Hymenolepis microstoma	hymenolepis_microstoma	Eukaryota	Platyhelminthes	Cestoda	Cyclophyllidea	Hymenolepididae	Hymenolepis
980415	Lethenteron camtschaticum	japaneselamprey	Eukaryota	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Lethenteron
28985	Kluyveromyces lactis	kluyveromyces_lactis	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces
29883	Laccaria bicolor	laccaria_bicolor	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria
5689	Leishmania tarentolae	leishmania_tarentolae	Eukaryota	Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania
43054	Leptasterias	Leptasterias_sp	Eukaryota	Echinodermata	Asteroidea	Forcipulatida	Asteriidae	
7209	Loa loa	Loa_loa	Eukaryota	Nematoda	Chromadorea	Rhabditida	Onchocercidae	Loa
36914	Lodderomyces elongisporus	lodderomyces_elongisporus	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Lodderomyces
148305	Magnaporthe grisea	magnaporthe_grisea	Eukaryota	Ascomycota	Sordariomycetes	Magnaporthales	Pyriculariaceae	Pyricularia
4577	Zea mays	maize	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Zea
184485	Mesotaenium endlicherianum	mesotaenium_endlicherianum	Eukaryota	Streptophyta	Zygnemophyceae	Zygnematales	Mesotaeniaceae	Mesotaenium
296587	Micromonas commoda	Micromonas_commoda	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas
38833	Micromonas pusilla	Micromonas_pusilla	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas
27923	Mnemiopsis leidyi	mnemiopsis_leidyi	Eukaryota	Ctenophora	Tentaculata	Lobata	Bolinopsidae	Mnemiopsis
145388	Monoraphidium neglectum	Monoraphidium_neglectum	Eukaryota	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Monoraphidium
81824	Monosiga brevicollis	Monosiga_brevicollis	Eukaryota		Choanoflagellata	Craspedida	Salpingoecidae	Monosiga
5762	Naegleria gruberi	Naegleria_gruberi	Eukaryota	Heterolobosea			Vahlkampfiidae	Naegleria
7425	Nasonia vitripennis	nasonia	Eukaryota	Arthropoda	Insecta	Hymenoptera	Pteromalidae	Nasonia
45351	Nematostella vectensis	nematostella_vectensis	Eukaryota	Cnidaria	Anthozoa	Actiniaria	Edwardsiidae	Nematostella
321803	Nemopilema nomurai	Nemopilema_nomurai	Eukaryota	Cnidaria	Scyphozoa	Rhizostomeae	Rhizostomatidae	Nemopilema
5141	Neurospora crassa	neurospora_crassa	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora
416868	Notospermus geniculatus	Notospermus_geniculatus	Eukaryota	Nemertea	Pilidiophora	Heteronemertea	Lineidae	Notospermus
242159	Ostreococcus sp. 'lucimarinus'	Ostreococcus_sp_lucimarinus	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus
70448	Ostreococcus tauri	Ostreococcus_tauri	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus
5888	Paramecium tetraurelia	Paramecium_tetraurelia	Eukaryota	Ciliophora	Oligohymenophorea	Peniculida	Parameciidae	Paramecium
114398	Parasteatoda tepidariorum	parasteatoda	Eukaryota	Arthropoda	Arachnida	Araneae	Theridiidae	Parasteatoda
2822231	Phanerochaete chrysosporium	pchrysosporium	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Phanerodontia
7029	Acyrthosiphon pisum	pea_aphid	Eukaryota	Arthropoda	Insecta	Hemiptera	Aphididae	Acyrthosiphon
121225	Pediculus humanus	Pediculus_humanus	Eukaryota	Arthropoda	Insecta	Phthiraptera	Pediculidae	Pediculus
31276	Perkinsus marinus	Perkinsus_marinus	Eukaryota	Perkinsozoa		Perkinsida	Perkinsidae	Perkinsus
5833	Plasmodium falciparum	pfalciparum	Eukaryota	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium
2850	Phaeodactylum tricornutum	Phaeodactylum_tricornutum	Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales	Phaeodactylaceae	Phaeodactylum
2822231	Phanerochaete chrysosporium	phanerochaete_chrysosporium	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Phanerodontia
3218	Physcomitrium patens	Physcomitrium_patens	Eukaryota	Streptophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium
4924	Pichia stipitis	pichia_stipitis	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Scheffersomyces
7612	Pisaster ochraceus	pisaster	Eukaryota	Echinodermata	Asteroidea	Forcipulatida	Asteriidae	Pisaster
42068	Pneumocystis jirovecii	pneumocystis	Eukaryota	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis
3694	Populus trichocarpa	Populus_trichocarpa	Eukaryota	Streptophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus
183589	Pseudo-nitzschia multistriata	Pseudo-nitzschia_multistriata	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia
63121	Ptychodera flava	Ptychodera_flava	Eukaryota	Hemichordata	Enteropneusta		Ptychoderidae	Ptychodera
7614	Pycnopodia helianthoides	Pycnopodia_helianthoides	Eukaryota	Echinodermata	Asteroidea	Forcipulatida	Asteriidae	Pycnopodia
307507	Raphidocelis subcapitata	Raphidocelis_subcapitata	Eukaryota	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Raphidocelis
259920	Rhincodon typus	rhincodon	Eukaryota	Chordata	Chondrichthyes	Orectolobiformes	Rhincodontidae	Rhincodon
64495	Rhizopus oryzae	rhizopus_oryzae	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus
13249	Rhodnius prolixus	rhodnius	Eukaryota	Arthropoda	Insecta	Hemiptera	Reduviidae	Rhodnius
499914	Rhopilema esculentum	Rhopilema_esculentum	Eukaryota	Cnidaria	Scyphozoa	Rhizostomeae	Rhizostomatidae	Rhopilema
4533	Oryza brachyantha	rice	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Oryza
3988	Ricinus communis	Ricinus_communis	Eukaryota	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Ricinus
285006	Saccharomyces cerevisiae RM11-1a	saccharomyces_cerevisiae_rm11	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
559292	Saccharomyces cerevisiae S288C	saccharomyces_cerevisiae_S288C	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
1280	Staphylococcus aureus	s_aureus	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
6183	Schistosoma mansoni	schistosoma2	Eukaryota	Platyhelminthes	Trematoda	Strigeidida	Schistosomatidae	Schistosoma
