ncbiTaxID	Source_ID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
4932	CECT 12558	Saccharomyces cerevisiae	IFI 139	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12559	Saccharomyces cerevisiae	IFI 141	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12560	Saccharomyces cerevisiae	IFI 142	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12561	Saccharomyces cerevisiae	IFI 173	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12562	Saccharomyces cerevisiae	IFI 175	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12563	Saccharomyces cerevisiae	IFI 176	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12564	Saccharomyces cerevisiae	IFI 178	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12565	Saccharomyces cerevisiae	IFI 211	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12566	Saccharomyces cerevisiae	IFI 212	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12567	Saccharomyces cerevisiae	IFI 213	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
