CCUG Number	Strain	Source	Depositor	Deposit Date
56148T	Listeria marthii	Soil, forest area	Lewis M.Graves, CDC, Atlanta, GA, USA	2008-03-31
56137T	Prevotella falsenii	Monkey dental plaque	M.Sakamoto, JCM, Saitama, Japan	2008-03-28
56120 #T	Francisella asiatica	Fish, diseased, Tilapia (Oreochromis sp.)	Jarle Mikalsen, NVI, Oslo, Norway	2008-03-26
56105T	Prevotella micans	Human oral necrotic pulp, 2-yr-old child	J.Downes, Kings College, London, UK	2008-03-25
56107T	Nonomuraea rosea	Soil	P.Kämpfer, Giessen, Germany	2008-03-25
56108T	Methylobacterium marchantiae	Phyllospere (thallus) (Marchantia polymorpha)	P.Kämpfer, Giessen, Germany	2008-03-25
56109T	Methylobacterium goesingense	Plant, Thlaspi goesingense, hyperaccumulating	P.Kämpfer, Giessen, Germany	2008-03-25
56098T	Winogradskyella rapida	Seawater surface, enrichment with protein	J.Pinhassi, University of Kalmar, Sweden	2008-03-19
56065T	Peptoniphilus duerdenii	Human abscess, vaginal	S.M.Finegold, Los Angeles, CA, USA	2008-03-12
56066 #T	Peptoniphilus allenii	Human abscess, cheek	S.M.Finegold, Los Angeles, CA, USA	2008-03-12
56067T	Peptoniphilus koenoeneniae	Human buttock abscess	S.M.Finegold, Los Angeles, CA, USA	2008-03-12
56068 #T	Peptoniphilus massiliensis	Human axillary abscess	S.M.Finegold, Los Angeles, CA, USA	2008-03-12
56051T	Corynebacterium xerosis	Human ear discharge, child	D.Novácová, CCM, Brno, Czech Republic	2008-03-10
56052 #T	Salinicoccus iranensis	Waistwater of a textile industry	D.Nováková, CCM, Brno, Czech Republic	2008-03-10
56047T	Brevibacterium ravenspurgense	Human wound, 45-yr-old male	Guido Funke, Ravensburg, Germany	2008-03-07
56030 #T	Chitinophaga sancti		R.Pukall, DSMZ, Braunschweig, Germany	2008-03-06
56031T	Hylemonella gracilis	Pondwater	R.Pukall, DSMZ, Braunschweig, Germany	2008-03-06
56032T	Ottowia thiooxydans	Sludge, activated, high-load basin wastewater plant	R.Pukall, DSMZ, Braunschweig, Germany	2008-03-06
56033 #T	Arthrobacter gandavensis	Cow, mastitic milk	R.Pukall, DSMZ, Braunschweig, Germany	2008-03-06
56034T	Enterocloster asparagiformis	Human feces	R.Pukall, DSMZ, Braunschweig, Germany	2008-03-06
56035T	Cronobacter malonaticus	Human breast abscess	R.Pukall, DSMZ, Braunschweig, Germany	2008-03-06
56036T	Ligilactobacillus hayakitensis	Equine feces, healthy thoroughbred	R.Pukall, DSMZ, Braunschweig, Germany	2008-03-06
56037T	Micrococcus flavus	Activated sludge	R.Pukall, DSMZ, Braunschweig, Germany	2008-03-06
56038 AT	Veillonella ratti	Rat mouth	R.Pukall, DSMZ, Braunschweig, Germany	2008-03-06
56039T	Kocuria himachalensis	Soil	R.Pukall, DSMZ, Braunschweig, Germany	2008-03-06
56041T	Anoxybacillus flavithermus	Hot spring	E.R.B.Moore, CCUG, Göteborg, Sweden	2008-03-06
56042T	Azospirillum lipoferum	Roots, wheat	E.R.B.Moore, CCUG, Göteborg, Sweden	2008-03-06
56015T	Acinetobacter septicus	Human blood, neonate (outbreak strain)	Yi-Wei Tang, Vanderbilt Univ., Nashville, TN, USA	2008-03-03
56017T	Negativicoccus succinicivorans	Human wound, toe	J.-P.Carlier, Institut Pasteur, Paris, France	2008-03-03
55995T	Deinococcus hohokamensis	Soil, exposed to varying doses of gamma radiation	P.Kämpfer, Giessen, Germany	2008-02-27
55996T	Deinococcus hopiensis	Soil, exposed to varying doses of gamma radiation	P.Kämpfer, Giessen, Germany	2008-02-27
55998T	Deinococcus maricopensis	Soil, exposed to varying doses of gamma radiation	P.Kämpfer, Giessen, Germany	2008-02-27
55989 #T	Deinococcus sonorensis	Soil sample exposed to gamma radiation	P.Kämpfer, Giessen, Germany	2008-02-26
56028T	Deinococcus apachensis		P.Kämpfer, Giessen, Germany	2008-02-26
56029T	Deinococcus navajonensis		P.Kämpfer, Giessen, Germany	2008-02-26
56058T	Ottowia thiooxydans	Sludge, activated, wastewater-treatment plant	P.Kämpfer, Giessen, Germany	2008-02-26
55974 #T	Novosphingobium acidiphilum	Fresh water	Jens Glaeser, Giessen, Germany	2008-02-25
55975T	Mycobacterium setense	Human soft tissue infection and osteitis	B.Lamy, Centre Hosp Bassin de Thau, Sète, France	2008-02-25
55976T	Murdochiella asaccharolytica	Human sacrum pilonidal cyst	S.M.Finegold, Los Angeles, CA, USA	2008-02-25
55979T	Porphyromonas bennonis	Human shoulder abscess	S.M.Finegold, Los Angeles, CA, USA	2008-02-25
55942T	Arcicella rosea	Drinking water	P.Kämpfer, Giessen, Germany	2008-02-19
55948T	Cupriavidus pampae	Soil, CPDB, history of phenoxy herbicides use	V.Cuadrado, Buenos Aires, Argentina	2008-02-19
55927T	Staphylococcus massiliensis	Human brain abscess (or contamination ?)	V.Roux, Timone Hospital, Marseille, France	2008-02-14
55928T	Actinomyces timonensis	Human aspirate, 13-yr-old girl	V.Roux, Timone Hospital, Marseille, France	2008-02-14
55929T	Phocaeicola abscessus	Human brain abscess	V.Roux, Timone Hospital, Marseille, France	2008-02-14
55916T	Desmospora activa	Human sputum	A.F.Yassin, University, Bonn, Germany	2008-02-13
55902T	Methylobacterium organophilum	Sediment	P.Green, NCIMB, Aberdeen, Scotland, UK	2008-02-11
55903T	Methylobacterium chloromethanicum	Soil	P.Green, NCIMB, Aberdeen, Scotland, UK	2008-02-11
55904T	Methylobacterium radiotolerans	Rice grains, normal unpolished and commercial rice	P.Green, NCIMB, Aberdeen, Scotland, UK	2008-02-11
55905T	Methylobacterium lusitanum	Soil	P.Green, NCIMB, Aberdeen, Scotland, UK	2008-02-11
55906T	Methylorubrum extorquens		P.Green, NCIMB, Aberdeen, Scotland, UK	2008-02-11
55907T	Methylobacterium suomiense	Soil	P.Green, NCIMB, Aberdeen, Scotland, UK	2008-02-11
55908T	Methylorubrum rhodinum	Alder (Alnus) rhizosphere	P.Green, NCIMB, Aberdeen, Scotland, UK	2008-02-11
55896T	Streptococcus porci	Pig heart, pericarditis	A.I.Vela, UCM, Madrid, Spain	2008-02-07
55877T	Kloeckera apiculata var apis	Bee trachea	Régine Cuziat, bioMérieux, La Balme les G., France	2008-02-05
55850T	Bradyrhizobium betae	Beta vulgaris tumor-like deformations	C.Vereecke, LMG, Gent, Belgium	2008-02-01
55851T	Cronobacter dublinensis subsp. dublinensis	Milk powder production facility	C.Vereecke, LMG, Gent, Belgium	2008-02-01
55852T	Cronobacter turicensis	Human blood, neonatal, meningitis	C.Vereecke, LMG, Gent, Belgium	2008-02-01
55853T	Mycobacterium vanbaalenii	Estuarine sediments polluted with petrols	C.Vereecke, LMG, Gent, Belgium	2008-02-01
55854T	Pseudoxanthomonas kaohsiungensis	Waste water	C.Vereecke, LMG, Gent, Belgium	2008-02-01
55855T	Rothia terrae	Soil	C.Vereecke, LMG, Gent, Belgium	2008-02-01
55856T	Serratia ureilytica	Water	C.Vereecke, LMG, Gent, Belgium	2008-02-01
55857T	Nautella italica	Marine biofilm on stainless steel electrode	Ilse Vandecandelaere, LMG, Gent, Belgium	2008-02-01
55858T	Tritonibacter scottomollicae	Marine biofilm on stainless steel electrode	Ilse Vandecandelaere, LMG, Gent, Belgium	2008-02-01
55859T	Leisingera caerulea	Marine biofilm on stainless steel electrode	Ilse Vandecandelaere, LMG, Gent, Belgium	2008-02-01
55860T	Leisingera aquamarina	Marine biofilm on stainless steel electrode	Ilse Vandecandelaere, LMG, Gent, Belgium	2008-02-01
55861T	Staphylococcus microti	Common vole (Microtus arvalis) liver and kidney	Dana Nováková, CCM, Brno, Czech Republic	2008-02-01
55836T	Pyramidobacter piscolens	Human abscess aspirate, oral odontogenic	J.Downes, Kings College, London, UK	2008-01-28
55806T	Candidimonas nitroreducens	Sewage sludge compost	C.M.Manaia, Porto, Portugal	2008-01-24
55807T	Candidimonas humi	Sewage sludge compost	C.M.Manaia, Porto, Portugal	2008-01-24
55808T	Shinella fusca	Domestic wastes compost	C.M.Manaia, Porto, Portugal	2008-01-24
55809T	Sphingomonas vermicomposti	Vermicompost, homemade from kitchen refuse	Manaia C, PUC, Porto, Portugal	2008-01-24
55795T	Corynebacterium sputi	Human sputum, pneumonia	A.F.Yassin, University, Bonn, Germany	2008-01-21
55786T	Campylobacter lari subsp. concheus	Shellfish	Lies Debruyne, Gent University, Gent, Belgium	2008-01-18
55787T	Campylobacter peloridis	Shellfish	Lies Debruyne, Gent University, Gent, Belgium	2008-01-18
55773T	Cryptobacterium curtum	Human periodontal pocket, adult, periodontal disease	Elke Lang, DSMZ, Braunschweig, Germany	2008-01-17
55771T	Bosea thiooxidans	Agricultural soil	Elke Lang, DSMZ, Braunschweig, Germany	2008-01-16
55772T	Bosea minatitlanensis	Industrial waist water	Elke Lang, DSMZ, Braunschweig, Germany	2008-01-16
55774T	Streptococcus dentirousetti	Bat oral cavity (in zoo)	Elke Lang, DSMZ, Braunschweig, Germany	2008-01-16
55775T	Streptococcus caballi	Horse rectum, oligofructose-induced laminitis	Elke Lang, DSMZ, Braunschweig, Germany	2008-01-16
55776T	Streptococcus henryi	Horse caecum, oligofructose-induced laminitis	Elke Lang, DSMZ, Braunschweig, Germany	2008-01-16
55760T	Lutimaribacter saemankumensis	Tidal flat sediment	Jung-Hoon Yoon, KRIB, Taejon, Korea	2008-01-14
55761 #T	Jannaschia saemankumensis	Tidal flat sediment	Jung-Hoon Yoon, KRIB, Taejon, Korea	2008-01-14
55749 #T	Herminiimonas saxobsidens	Lichen covering limestone	D.Nováková, CCM, Brno, Czech Republic	2008-01-11
55750T	Kocuria aegyptia	Soil, saline alkaline desert	D.Nováková, CCM, Brno, Czech Republic	2008-01-11
55751T	Kocuria carniphila	Meat	D.Nováková, CCM, Brno, Czech Republic	2008-01-11
55752T	Kocuria rhizophila	Rhizosphere of narrow-leaved cattail	D.Nováková, CCM, Brno, Czech Republic	2008-01-11
55753T	Pseudomonas delhiensis	Fly ash dumping site of a thermal power plant	D.Nováková, CCM, Brno, Czech Republic	2008-01-11
55727T	Corynebacterium ulceribovis	Cattle ulcer	A.F.Yassin, University, Bonn, Germany	2008-01-02
55703T	Teichococcus ludipueritiae	Wall of a children care center	P.Kämpfer, Giessen, Germany	2007-12-21
55698T	Solibacillus cecembensis	Glacier	S.Shivaji, Hyderabad, India	2007-12-20
55700T	Leifsonia pindariensis	Glacier	S.Shivaji, Hyderabad, India	2007-12-20
55701 #T	Cryobacterium roopkundense	Water, glacier	S.Shivaji, Hyderabad, India	2007-12-20
55648T	Streptomyces specialis	Soil	P.Kämpfer, Giessen, Germany	2007-12-17
55631T	Gallibacterium trehalosifermentans	Budgerigar septicaemia	Henrik Christensen, Copenhagen, Denmark	2007-12-12
55632T	Chelonobacter oris	Tortoise mouth, choanae, Testudo hermanni	Henrik Christensen, Copenhagen, Denmark	2007-12-12
55633T	Mycobacterium colombiense	Human blood, AIDS patient	Enrico Tortoli, Florence, Italy	2007-12-12
55635T	Mycobacterium nebraskense	Human sputum	Enrico Tortoli, Florence, Italy	2007-12-12
55636T	Mycobacterium insubricum	Human sputum	Enrico Tortoli, Florence, Italy	2007-12-12
55639T	Mycobacterium kubicae	Human sputum	Enrico Tortoli, Florence, Italy	2007-12-12
55640T	Mycobacterium alsense	Human sputum	Enrico Tortoli, Florence, Italy	2007-12-12
55604T	Chryseobacterium solincola	Soil of petrol station	M.-L.Fardeau, Marseille, France	2007-12-10
55606T	Duganella zoogloeoides	Trickling filter	P.Green, NCIMB, Aberdeen, Scotland, UK	2007-12-10
55608T	Larkinella insperata	Water, steam generator in a pharmaceutical company	P.Green, NCIMB, Aberdeen, Scotland, UK	2007-12-10
55609T	Mycoplana ramosa		P.Green, NCIMB, Aberdeen, Scotland, UK	2007-12-10
55582T	Lacrimispora indolis		S.Gronow, DSMZ, Braunschweig, Germany	2007-12-06
55583 #T	Lysobacter antibioticus		S.Gronow, DSMZ, Braunschweig, Germany	2007-12-06
55584 #T	Lacrimispora aerotolerans		S.Gronow, DSMZ, Braunschweig, Germany	2007-12-06
55585T	Lysobacter brunescens		S.Gronow, DSMZ, Braunschweig, Germany	2007-12-06
55586 #T	Lysobacter gummosus	Soil	S.Gronow, DSMZ, Braunschweig, Germany	2007-12-06
55589T	Lysobacter concretionis	Granular sludge, brewery, UASB reactor	S.Gronow, DSMZ, Braunschweig, Germany	2007-12-06
55590T	Exiguobacterium aestuarii	Tidal flat	S.Gronow, DSMZ, Braunschweig, Germany	2007-12-06
55591T	Chryseobacterium shigense	Lactic acid beverage	S.Gronow, DSMZ, Braunschweig, Germany	2007-12-06
55592T	Pseudomonas otitidis		S.Gronow, DSMZ, Braunschweig, Germany	2007-12-06
55593T	Barnesiella viscericola	Chicken caecum	S.Gronow, DSMZ, Braunschweig, Germany	2007-12-06
55595T	Prevotella stercorea	Human feces, 52-yr-old healthy man	S.Gronow, DSMZ, Braunschweig, Germany	2007-12-06
55596T	Legionella yabuuchiae	Soil contaminated with industrial wastes	S.Gronow, DSMZ, Braunschweig, Germany	2007-12-06
55597T	Legionella impletisoli	Landfill	S.Gronow, DSMZ, Braunschweig, Germany	2007-12-06
55598T	Azospira restricta	Groundwater	S.Gronow, DSMZ, Braunschweig, Germany	2007-12-06
55599T	Brooklawnia cerclae	Chlorosolvent-contaminated anaerobic groundwater	S.Gronow, DSMZ, Braunschweig, Germany	2007-12-06
55538 #T	Novosphingobium acidiphilum	Fresh water (humic acid rich lake)	Jens Glaeser, Giessen, Germany	2007-11-30
55525T	Burkholderia lata	Soil, forest	Elke Vanlaere, LMG, Gent, Belgium	2007-11-27
55526T	Burkholderia contaminans	Sheep milk, mastitis	Elke Vanlaere, LMG, Gent, Belgium	2007-11-27
55516T	Tessaracoccus lubricantis	Metalworking fluid	P.Kämpfer, Giessen, Germany	2007-11-26
55508T	Bavariicoccus seileri	Surface of mature German red smear soft cheese	V.Schmidt & S.Scherer, ZIEL, TUM, Freising, Germany	2007-11-23
55483T	Mycobacterium avium subsp. paratuberculosis	Cow feces, naturally aquired paratuberculos	C.Bizet, CIP, Paris, France	2007-11-22
55484 #T	Tissierella creatinini	Waste water pool at sugar refinery	C.Bizet, CIP, Paris, France	2007-11-22
55486T	Pseudoxanthomonas kalamensis	Soil contaminated with PCB's+PAH's	C.Bizet, CIP, Paris, France	2007-11-22
55487T	Pseudoxanthomonas daejeonensis	Soil, ginseng field	C.Bizet, CIP, Paris, France	2007-11-22
55488T	Pseudoxanthomonas koreensis	Soil, ginseng field	C.Bizet, CIP, Paris, France	2007-11-22
55489 AT	Exiguobacterium artemia	Cysts of Artemia franciscana	C.Bizet, CIP, Paris, France	2007-11-22
55490T	Exiguobacterium mexicanum	Cysts of Artemia franciscana	C.Bizet, CIP, Paris, France	2007-11-22
55491T	Lysobacter koreensis	Ginseng field	C.Bizet, CIP, Paris, France	2007-11-22
55492 #T	Lysobacter daejeonensis	Greenhouse soil	C.Bizet, CIP, Paris, France	2007-11-22
55493 #T	Lysobacter yangpyeongensis	Greenhouse soil	C.Bizet, CIP, Paris, France	2007-11-22
55494T	Myroides pelagicus	Seawater	C.Bizet, CIP, Paris, France	2007-11-22
55495T	Exiguobacterium sibiricum	Permafrost core	C.Bizet, CIP, Paris, France	2007-11-22
55496T	Serratia entomophila	Diseased grass grub larva, Costelytra zealandica	C.Bizet, CIP, Paris, France	2007-11-22
55497T	Mycobacterium mucogenicum	Human thyroglossal duct cyst	C.Bizet, CIP, Paris, France	2007-11-22
55499T	Providencia vermicola	Entomopathogenic nematode, Steinenema thermophilum	C.Bizet, CIP, Paris, France	2007-11-22
55501T	Arsenophonus nasoniae	Wasp, Nasonia vitripennis	C.Bizet, CIP, Paris, France	2007-11-22
55454T	Veillonella magna	Pig jejunal mucosa, healthy 62 day old animal	Mareike Kraatz, FUB, Berlin, Germany	2007-11-15
55431T	Azospirillum picis	Tar, discarded road tar	A.F.Yassin, University, Bonn, Germany	2007-11-05
55419 #T	Tissierella creatinophila	Sewage sludge, anaerobic	Elke Lang, DSMZ, Braunschweig, Germany	2007-11-02
55420T	Geobacillus subterraneus	Formation water	Elke Lang, DSMZ, Braunschweig, Germany	2007-11-02
55421T	Eggerthella sinensis	Human blood, patient with acute proctitis	Elke Lang, DSMZ, Braunschweig, Germany	2007-11-02
55422T	Ochrobactrum pseudintermedium	Human axillary swab, 20-yr-old man	Elke Lang, DSMZ, Braunschweig, Germany	2007-11-02
55423T	Bacteroides gallinarum	Chicken cecum	Elke Lang, DSMZ, Braunschweig, Germany	2007-11-02
55425T	Streptococcus orisuis	Pig oral cavity	Elke Lang, DSMZ, Braunschweig, Germany	2007-11-02
55411T	Ochrobactrum rhizosphaerae	Potato rhizosphere	P.Kämpfer, Giessen, Germany	2007-11-01
55412T	Ochrobactrum thiophenivorans	Waste water	P.Kämpfer, Giessen, Germany	2007-11-01
55424T	Phocaeicola coprophilus	Human feces	Elke Lang, DSMZ, Braunschweig, Germany	2007-11-01
55397T	Rhodovulum kholense	Mud from Bhitarkanika mangrove forest	Ch.Sasikala, Hyderabad, India	2007-10-31
55408T	Tatumella saanichensis	Human sputum, 16-yr-old man, cystic fibrosis	D.Tracz, NML, Winnipeg, Canada	2007-10-31
55340T	Alteromonas genoviensis	Marine electroactive biofilm	Ilse Vandecandelaere, LMG, Gent, Belgium	2007-10-17
55324T	Muricauda lutimaris	Tidal flat sediment	Jung-Hoon Yoon, Daejon, Korea	2007-10-09
55325T	Roseovarius aestuarii	Tidal flat sediment	Jung-Hoon Yoon, Daejon, Korea	2007-10-09
55326T	Jannaschia seohaensis	Tidal flat sediment	Jung-Hoon Yoon, Daejon, Korea	2007-10-09
55327T	Tamlana agarivorans	Seawater	Miyamoto and Itoh 2000	2007-10-09
55328T	Seohaeicola saemankumensis	Tidal flat sediment	Jung-Hoon Yoon, Daejon, Korea	2007-10-09
55329T	Aestuariicola saemankumensis	Tidal flat sediment	Jung-Hoon Yoon, Daejon, Korea	2007-10-09
55407T	Prevotella histicola	Human oral tissue, squamous cell carcinoma	J.Downes, Kings College, London, UK	2007-10-05
55298T	Desulfovibrio tunisiensis	Wastewater reffinery	M.-L.Fardeau, Marseille, France	2007-10-04
55265T	Butyricicoccus pullicaecorum	Chicken feces, 4-week old broiler	V.Eeckhaut, Merelbeke, Belgium	2007-09-25
55250T	Aquamicrobium segne	Biofilter for treatment of waste gases (animal)	A Lipski, Osnabrück, Germany	2007-09-21
55251T	Aquamicrobium ahrensii	Biofilter for treatment of waste gases (animal)	A Lipski, Osnabrück, Germany	2007-09-21
55240T	Paenibacillus chartarius	Papermill, industry	Makhoul L, Stora Enso, Karlstad, SE	2007-09-20
55175T	Chromobacterium aquaticum	Spring water	P.Kämpfer, Giessen, Germany	2007-09-07
55176T	Sphingobium rhizovicinum	Soil, rhizosphere of Fortunella hindsii	P.Kämpfer, Giessen, Germany	2007-09-07
55129T	Rhodobacter maris	Mud from fishing area, sea shore	Ch.Sasikala, Hyderabad, India	2007-08-23
55130T	Rhodobacter aestuarii	Mud from microbial mat of mangrove forest	Ch.Sasikala, Hyderabad, India	2007-08-23
55131T	Gordonibacter pamelaeae	Human intestinal biopsy, inflammatory bowel disease	D.Würdemann/A.Oxley, HZI, Braunschweig, Germany	2007-08-23
55099T	Lactococcus chungangensis	Wastewater, activated sludge (screening)	Wonyong Kim, CAU, Seoul, South Korea	2007-08-13
55073T	Caulobacter mirabilis	Activated sludge	W.-R.Abraham, Braunschweig, Germany	2007-08-08
55074T	Phenylobacterium conjunctum	Water biofilm	W.-R.Abraham, Braunschweig, Germany	2007-08-08
55056T	Devriesea agamarum	Agama impalearis (lizard), liver, dermatitis lesions	An Martel, Merelbeke, Belgium	2007-07-30
55049T	Cereibacter ovatus	Water, industrially polluted fresh water pond	Ch.Sasikala, Hyderabad, India	2007-07-25
54980T	Adlercreutzia mucosicola	Mouse ileal tissue (TNFdeltaARE mouse)	T.Clavel, DIFE, Freising-Weihenstephan, Germany	2007-06-27
54925T	Adlercreutzia equolifaciens	Human feces, 25-yr-old healthy woman	T.Maruo, Fujicco Co., Kobe, Japan	2007-06-25
54928T	Pseudomonas knackmussii		DSMZ, Braunschweig, Germany	2007-06-25
54934T	Stenotrophomonas rhizophila	Rhizosphere of oilseed rape (Brassica napus L)	DSMZ, Braunschweig, Germany	2007-06-25
54935T	Bacillus muralis	Biofilm of a mural painting	DSMZ, Braunschweig, Germany	2007-06-25
54936T	Alcaligenes faecalis subsp. phenolicus	Wastewater bioprocessor	DSMZ, Braunschweig, Germany	2007-06-25
54937T	Schleiferilactobacillus harbinensis	Fermented vegetables 'Suan cai'	DSMZ, Braunschweig, Germany	2007-06-25
54938T	Moraxella oblonga	Oral cavity of sheep	DSMZ, Braunschweig, Germany	2007-06-25
54939T	Pseudoeromonas sharmana		DSMZ, Braunschweig, Germany	2007-06-25
54940T	Ochrobactrum oryzae		DSMZ, Braunschweig, Germany	2007-06-25
54941T	Massilia aurea	Water, drinking	DSMZ, Braunschweig, Germany	2007-06-25
54942T	Trinickia soli	Soil cultivated with Korean ginseng	DSMZ, Braunschweig, Germany	2007-06-25
54943T	Parabacteroides johnsonii	Human feces	DSMZ, Braunschweig, Germany	2007-06-25
54944T	Franconibacter helveticus	Fruit powder	DSMZ, Braunschweig, Germany	2007-06-25
54945T	Siccibacter turicensis		DSMZ, Braunschweig, Germany	2007-06-25
54946T	Gulbenkiania mobilis	Treated waistwater	DSMZ, Braunschweig, Germany	2007-06-25
54948T	Veillonella dispar	Human oral cavity	DSMZ, Braunschweig, Germany	2007-06-25
54949T	Veillonella caviae	Guinea pig mouth	DSMZ, Braunschweig, Germany	2007-06-25
54950T	Laceyella putida		DSMZ, Braunschweig, Germany	2007-06-25
54951T	Dietzia natronolimnaea	Soda Lake	DSMZ, Braunschweig, Germany	2007-06-25
54952T	Dietzia kunjamensis	Soil	DSMZ, Braunschweig, Germany	2007-06-25
54912T	Moraxella porci	Pig	A.I.Vela, UCM, Madrid, Spain	2007-06-20
54913T	Moraxella pluranimalium	Pig, nasal turbinate of a healthy animal	A.I.Vela, UCM, Madrid, Spain	2007-06-20
54896T	Spongiibacter marinus	Demosponge haliclona sp.1	I.Graeber & U.Szewzyk, TUB, Berlin, Germany	2007-06-18
54880T	Stenotrophomonas terrae	Soil, enrichment with ethanol and nitrate	P.de Vos, LMG, Gent, Belgium	2007-06-13
54881T	Stenotrophomonas humi	Soil, enrichment with ethanol and nitrate	P.de Vos, LMG, Gent, Belgium	2007-06-13
54871T	Streptococcus merionis	Mongolian gerbil, peritoneal cavity (fox tapeworm)	R.Pukall, DSMZ, Braunschweig, Germany	2007-06-11
54844T	Halomonas andesensis	Water of a lake	Daniel Guzmán, Kemicentrum, Lund, Sweden	2007-05-29
54822T	Lentibacillus salinarum	Soil sediment, marine solar saltern	J-H Yoon, KRIBB, Daejeon, South Korea	2007-05-21
54775T	Oceanobacillus picturae	Mural painting	J.-S.Lee, KCTC, Yusong, Daejeon, Korea	2007-05-03
54777T	Pseudomonas segetis	Soil	J.-S.Lee, KCTC, Yusong, Daejeon, Korea	2007-05-03
54778T	Pseudomonas alcaliphila	Seawater	J.-S.Lee, KCTC, Yusong, Daejeon, Korea	2007-05-03
54779T	Sphingobium abikonense	Oil soaked soil	J.-S.Lee, KCTC, Yusong, Daejeon, Korea	2007-05-03
54781T	Janibacter marinus	Seawater	J.-S.Lee, KCTC, Yusong, Daejeon, Korea	2007-05-03
54784T	Sphingobium cloacae	Sewage-treatment plant	J.-S.Lee, KCTC, Daejeon, Korea	2007-05-03
54786T	Burkholderia terrae	Soil	J.-S.Lee, KCTC, Yusong, Daejeon, Korea	2007-05-03
54766T	Prevotella maculosa	Human oral cavity, pericoronitis	J.Downes, King's College, London, UK	2007-04-30
54769T	Prevotella oulorum	Human subgingival plaque/gingival crevice	B.Holmes, NCTC, Colindale, London, UK	2007-04-30
54772T	Rikenella microfusus	Quail caecum	B.Holmes, NCTC, London, UK	2007-04-30
54744T	Mycobacterium llatzerense	Water, hemodialysis	J.Lalucat, Palma de Mallorca, Baleares, Spain	2007-04-26
54731T	Dysgonomonas hofstadii	Human wound, 72-yr-old man, abdominal surgery	P.Carlson, HUSLAB, Helsinki, Finland	2007-04-23
54727T	Collimonas arenae	(Semi-)natural grasslands	E.De Brandt/P.Vandamme, LMG, Gent, Belgium	2007-04-20
54728T	Collimonas pratensis	(Semi-)natural grasslands	E.De Brandt/P.Vandamme, LMG, Gent, Belgium	2007-04-20
54662T	Paucibacter toxinivorans	Sediment of eutrophic lake	B.J.Tindall, DSMZ, Braunschweig, Germany	2007-04-05
54646T	Ochrobactrum cytisi	Nodules from Cytisus scoparius	E.Velázquez, Salamanca, Spain	2007-04-03
54647T	Ochrobactrum lupini	Nodules, Lupinus honoratus	E.Velázquez, Salamanca, Spain	2007-04-03
54622T	Pseudomonas thivervalensis	Rhizoplane of Brassica napus	B.J.Tindall, DSMZ, Braunschweig, Germany	2007-03-30
54623T	Pseudomonas thermotolerans	Cooking water of cork transformation industry	B.J.Tindall, DSMZ, Braunschweig, Germany	2007-03-30
54624T	Pannonibacter phragmitetus	Surface of decomposing reed rhizomes	B.J.Tindall, DSMZ, Braunschweig, Germany	2007-03-30
54625 #T	Victivallis vadensis	Human feces, 25-yr-old healthy Dutch man	B.J.Tindall, DSMZ, Braunschweig, Germany	2007-03-30
54626T	Companilactobacillus versmoldensis	Poultry salami	B.J.Tindall, DSMZ, Braunschweig, Germany	2007-03-30
54627T	Pseudomonas trivialis	Phyllosphere of grasses	B.J.Tindall, DSMZ, Braunschweig, Germany	2007-03-30
54628T	Pseudomonas cedrina subsp. fulgida	Grasses, phyllosphere	B.J.Tindall, DSMZ, Braunschweig, Germany	2007-03-30
54629T	Sporosarcina macmurdoensis	Cyanobacterial mat	B.J.Tindall, DSMZ, Braunschweig, Germany	2007-03-30
54630T	Pseudomonas lurida	Grasses, phyllosphere	B.J.Tindall, DSMZ, Braunschweig, Germany	2007-03-30
54631T	Pseudomonas umsongensis	Soil, agricultural	B.J.Tindall, DSMZ, Braunschweig, Germany	2007-03-30
54632 #T	Paucibacter toxinivorans	Sediment of eutrophic lake	B.J.Tindall, DSMZ, Braunschweig, Germany	2007-03-30
54634T	Phocaeicola plebeius	Human faeces	DSMZ, Braunschweig, Germany	2007-03-30
54635T	Phocaeicola coprocola	Human feces	B.J.Tindall, DSMZ, Braunschweig, Germany	2007-03-30
54636T	Phocaeicola barnesiae	Chicken caecum, healthy animal	B.J.Tindall, DSMZ, Braunschweig, Germany	2007-03-30
54639T	Streptomyces avidinii		B.J.Tindall, DSMZ, Braunschweig, Germany	2007-03-30
54553T	Shewanella canadensis	Marine sediment	J.-S.Zhao, NRCC, Montréal, Canada	2007-03-22
54554T	Shewanella atlantica	Marine sediment	J.-S.Zhao, NRCC, Montréal, Canada	2007-03-22
54555T	Burkholderia latens	Human sputum, cystic fibrosis	Elke Vanlaere, LMG, Gent, Belgium	2007-03-22
54558T	Burkholderia diffusa	Human sputum, cystic fibrosis	Elke Vanlaere, LMG, Gent, Belgium	2007-03-22
54561T	Burkholderia arboris	Morris Arboretum	Elke Vanlaere, LMG, Gent, Belgium	2007-03-22
54564T	Burkholderia seminalis	Human sputum, cystic fibrosis	Elke Vanlaere, LMG, Gent, Belgium	2007-03-22
54567T	Burkholderia metallica	Human sputum, cystic fibrosis	Elke Vanlaere, LMG, Gent, Belgium	2007-03-22
54571T	Burkholderia ginsengisoli	Soil, ginseng field	B, Gent, LMG, Vanlaere Elke	2007-03-22
54573T	Herbaspirillum hiltneri	Wheat rods, surface-sterilized(Triticum aestivum va	P.Vandamme, LMG, Gent, Belgium	2007-03-22
