CCUG Number	Strain	Source	Depositor	Deposit Date
46999T	Kerstersia similis	Human wound, leg	T.Coenye/P.Vandamme/D.Janssens, LMG, Gent, Belgium	2002-10-18
47000T	Kerstersia gyiorum	Human wound, ankle	T.Coenye/P.Vandamme/D.Janssens, LMG, Gent, Belgium	2002-10-18
46963T	Corynebacterium suicordis	Pig heart	CECT, Burjasot(Valencia), Spain	2002-10-07
46959T	Paraburkholderia xenovorans	Soil, PCB-contaminated	J.Goris, LMG, Gent, Belgium	2002-10-04
46960T	Marvinbryantia formatexigens	Human feces	DSMZ, Braunschweig, Germany	2002-10-04
46953T	Enterocloster bolteae	Human feces, child with late-onset autism	Y.Song, VA Medical Center, West Los Angeles, USA	2002-10-03
46924T	Gordonia westfalica	Foul water inside an automobile tire	D.P.Labeda, NRRL, Peoria, Illinois, USA	2002-09-30
46925T	Nocardia flavorosea	Soil	D.P.Labeda, NRRL, Peoria, Illinois, USA	2002-09-30
46887T	Stenotrophomonas acidaminiphila	Mud	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-09-18
46888T	Stenotrophomonas nitritireducens	Biofilter, laboratory scale	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-09-18
46890T	Pseudoxanthomonas broegbernensis	Biofilter, experimental	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-09-18
46891T	Novosphingobium hassiacum	Sewage pond, aerated	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-09-18
46822T	Paracoccus yeei	Human abdominal dialysate, peritonitis, 77-yr-old M	M.I.Daneshvar/L.Helsel, CDC, Atlanta, USA	2002-08-30
46823T	Vagococcus carniphilus	Food, ground beef	P.Shewmaker & R.R.Facklam, CDC, Atlanta, USA	2002-08-30
46825 #T	Psychrobacter faecalis	Bioaerosol	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-08-30
46828T	Nocardia seriolae	Spleen of yellowtail (Seriola quinqueradiata)	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-08-30
46789T	Ralstonia insidiosa	Human sputum, patient with leukemia	T.Coenye/P.Vandamme/D.Janssens, LMG, Gent, Belgium	2002-08-29
46809T	Cupriavidus respiraculi	Human respiratory tract, cystic fibrosis	T.Coenye/P.Vandamme/D.Janssens, LMG, Gent, Belgium	2002-08-29
46758T	Azonexus fungiphilus	Soil, rice, black sclerotium of a basidiomycete	D.Janssens, LMG, Gent, Belgium	2002-08-09
43828T	Bartonella bovis	Cow blood, domistic animal	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-07-10
46668T	Brachyspira hyodysenteriae	Swine dysentery	Anonymous	2002-07-09
45653T	Inquilinus limosus	Human sputum, cystic fibrosis	D.Janssens, LMG, Gent, Belgium	2002-07-05
