ncbiTaxID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
930	Acidithiobacillus thiooxidans	A02	30.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
1432062	Acidithiobacillus thiooxidans	A01	30.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
930	Acidithiobacillus thiooxidans	GD1-3	30.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
930	Acidithiobacillus thiooxidans	ZBY	30.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
930	Acidithiobacillus thiooxidans	Licanantay	30.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
1280514	Acidithrix ferrooxidans	Py-F3	25.0	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidithrix	
240015	Acidobacterium capsulatum	ATCC 51196	31.0	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Acidobacterium	
33998	Acidocella aminolytica	DSM 11237	31.0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	
1408419	Acidocella facilis	ATCC 35904	31.0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	
1970304	Acidocella sp.	20-63-7	6.29	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	
1970305	Acidocella sp.	21-58-7	6.29	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	
1970306	Acidocella sp.	35-58-6	6.29	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	
437	Acidomonas methanolica	MB58 = DSM 5432 = IMET 10945	33.5	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidomonas	
351607	Acidothermus cellulolyticus	11B	55.0	Bacteria	Actinomycetota	Actinomycetes	Acidothermales	Acidothermaceae	Acidothermus	
1970312	Acidovorax sp.	35-64-16	6.29	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	
