ncbiTaxID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
1794699	Thermodesulfobium acidiphilum	3127-1	55.0	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermodesulfobiaceae	Thermodesulfobium	
1295120	Thermogymnomonas acidicola	JCM 13583	60.0	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales		Thermogymnomonas	
273075	Thermoplasma acidophilum	DSM 1728	59.0	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	
1961136	Thermoplasmatales archaeon	B_DKE	22.0	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales			
1961137	Thermoplasmatales archaeon	ARMAN = A_DKE	22.0	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales			
273116	Thermoplasma volcanium	GSS1	60.0	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	
1650659	Thermoproteus sp.	CP80	80.0	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	
1714257	Thermoproteus sp.	CIS_19	80.9	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	
768679	Thermoproteus tenax	Kra 1	90.0	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	
426114	Thiomonas arsenitoxydans	CB6	30.0	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales		Thiomonas	
426114	Thiomonas arsenitoxydans	strain 3As	30.0	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales		Thiomonas	
75379	Thiomonas intermedia	K12	30.0	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales		Thiomonas	
926	Thiomonas intermedia	ATCC 15466	30.0	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales		Thiomonas	
554132	Thiomonas sp.	CB3	30.0	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales		Thiomonas	
554131	Thiomonas sp.	CB2	30.0	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales		Thiomonas	
223789	Thiomonas sp.	CB1	30.0	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales		Thiomonas	
1629664	Thiomonas sp.	ACO7	30.0	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales		Thiomonas	
1629663	Thiomonas sp.	ACO3	30.0	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales		Thiomonas	
1970454	Thiomonas sp.	20-64-9	15.27	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales		Thiomonas	
1970453	Thiomonas sp.	20-64-5	15.27	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales		Thiomonas	
1970452	Thiomonas sp.	15-66-11	15.27	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales		Thiomonas	
1970451	Thiomonas sp.	15-63-373	15.27	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales		Thiomonas	
1970450	Thiomonas sp.	14-66-4	15.27	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales		Thiomonas	
1970449	Thiomonas sp.	14-64-326	15.27	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales		Thiomonas	
1970448	Thiomonas sp.	13-66-29	15.27	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales		Thiomonas	
1970447	Thiomonas sp.	13-64-67	15.27	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales		Thiomonas	
1970606	Thiotrichales bacterium	35-46-9	15.44	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales			
1970601	Thiotrichales bacterium	16-46-22	15.27	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales			
1970600	Thiotrichales bacterium	12-47-6	15.27	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales			
1970603	Thiotrichales bacterium	24-47-4	15.44	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales			
1970604	Thiotrichales bacterium	32-46-8	15.44	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales			
1970602	Thiotrichales bacterium	17-46-47	15.44	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales			
1970605	Thiotrichales bacterium	34-46-19	15.44	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales			
1970607	Thiotrichales bacterium	39-47-5	15.44	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales			
478741	Verrucomicrobia bacterium	LP2A	30.0	Bacteria	Verrucomicrobiota					
1970608	Verrucomicrobia bacterium	12-59-8	15.44	Bacteria	Verrucomicrobiota					
1970609	Verrucomicrobia bacterium	21-51-4	15.44	Bacteria	Verrucomicrobiota					
1970610	Verrucomicrobiales bacterium	32-60-5	15.44	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales			
1134055	Verrucomicrobium sp.	3C	35.0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobium	
1293044	Vulcanisaeta distributa	JCM 11217	81.0	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	
1295124	Vulcanisaeta distributa	JCM 11215	81.0	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	
1293043	Vulcanisaeta distributa	JCM 11216	81.0	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	
1295123	Vulcanisaeta distributa	JCM 11213	81.0	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	
572478	Vulcanisaeta distributa	DSM 14429	90.0	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	
1293586	Vulcanisaeta souniana	JCM 11219	77.0	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	
1714252	Vulcanisaeta sp.	OSP_8	73.5	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	
1714251	Vulcanisaeta sp.	CIS_19	80.9	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	
1714250	Vulcanisaeta sp.	MG_3	82.3	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	
867917	Vulcanisaeta thermophila	CBA1501 = JCM 17228	85.0	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	
1971594	Xanthobacter sp.	35-67-6	15.44	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Xanthobacter	
1971593	Xanthobacter sp.	17-67-6	15.44	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Xanthobacter	
1970611	Xanthomonadales bacterium	13-68-4	15.44	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales			
1970613	Xanthomonadales bacterium	15-68-25	15.44	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales			
1970612	Xanthomonadales bacterium	14-68-21	15.44	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales			
