Name	Strain	Temp	Source_ID
Pyramimonas sp.	Hae5Py5	20 C	NIES-3396
Pyramimonas sp.	Ka10	20 C	NIES-3397
Pyramimonas sp.	M1Py1	20 C	NIES-3398
Pyramimonas sp.	Mad5-2	20 C	NIES-3399
Pyramimonas vacuolata	MIP-2	20 C	NIES-3400
Pyramimonas sp.	MIY1-8	20 C	NIES-3401
Pyramimonas sp.	Mk7N1	20 C	NIES-3402
Pyramimonas sp.	OD6P1	20 C	NIES-3403
Pyramimonas sp.	OEF03-4	20 C	NIES-3404
Pyramimonas sp.	OEO3-3	20 C	NIES-3405
Pyramimonas sp.	Ok2P3	20 C	NIES-3406
Pyramimonas sp.	Py4	20 C	NIES-3407
Pyramimonas sp.	Sa5P5	20 C	NIES-3408
Pyramimonas sp.	Sa5Py3	20 C	NIES-3409
Pyramimonas sp.	Sera3-2	20 C	NIES-3410
Pyramimonas sp.	SergOP6-1	20 C	NIES-3411
Pyramimonas sp.	SergOP8-2	20 C	NIES-3412
Pyramimonas sp.	Te2Py	20 C	NIES-3413
Pyramimonas sp.	Tni4Py1	20 C	NIES-3414
Pyramimonas sp.	Tni4Py4	20 C	NIES-3416
Pyramimonas sp.	TU2	20 C	NIES-3417
Pyramimonas sp.	TUP12	20 C	NIES-3418
Chattonella marina	KGW-3; HI-45	20 C	NIES-3420
Chattonella marina	KGW-4; HI-46	20 C	NIES-3421
Chattonella marina	KGW-84; KA-59-a	20 C	NIES-3422
Chattonella marina	KGW-126; KA-63-a	20 C	NIES-3423
Chattonella marina	KGW-131; KA-1-a	20 C	NIES-3424
Chattonella marina	KGW-257; KA-14-a	20 C	NIES-3426
Chattonella marina	KGW-328; KA-25-a	20 C	NIES-3427
Chattonella marina	KGW-5; MA-50	20 C	NIES-3428
Chattonella marina	KGW-7; KG-52	20 C	NIES-3429
Chattonella marina	KGW-10; HI-53	20 C	NIES-3430
Chattonella marina	KGW-55; KG-57	20 C	NIES-3431
Chattonella marina	KGW-91; HIU-57	20 C	NIES-3432
Chattonella marina	KGW-142; KA-2-m	20 C	NIES-3433
Chattonella marina	KGW-148; KA-3-m	20 C	NIES-3434
Chattonella marina	KGW-206; KG-78-m	20 C	NIES-3435
Chattonella marina	KGW-329; KA-25-o-Bisan	20 C	NIES-3436
Chattonella marina	KGW-330; KA-25-o-Harima	20 C	NIES-3437
Prorocentrum triestinum	KGW-28	20 C	NIES-3438
Prorocentrum concavum	KGW-153	20 C	NIES-3441
Prorocentrum sp.	KGW-225; Sukumo	20 C	NIES-3442
Prorocentrum sp.	KGW-253; 01-2	20 C	NIES-3443
Prorocentrum dentatum	KGW-263	20 C	NIES-3444
Alexandrium catenella	KGW-106; Wakayama	20 C	NIES-3445
Alexandrium catenella	KGW-278; Uragami	20 C	NIES-3446
Alexandrium fraterculum	KGW-314	20 C	NIES-3447
Gambierdiscus toxicus	KGW-250; Akajima	20 C	NIES-3448
Gambierdiscus toxicus	KGW-280; Sionomisaki	20 C	NIES-3449
Fukuyoa yasumotoi	KGW-232	20 C	NIES-3451
Karenia mikimotoi	KGW-321; Hiuchi	20 C	NIES-3452
Akashiwo sanguinea	KGW-261	20 C	NIES-3454
Gymnomonas nepalensis	NPL27	20 C	NIES-3572
Parietochloris toyamaensis	70716G3	20 C	NIES-3574
Koshicola spirodelophila	W1C4	20 C	NIES-3575
Nitzschia sp.	A4	20 C	NIES-3576
Nitzschia sp.	B3	20 C	NIES-3577
Nitzschia sp.	N4	20 C	NIES-3578
Nitzschia sp.	IriIs01	20 C	NIES-3579
Nitzschia sp.	IriIs03	20 C	NIES-3580
Nitzschia sp.	IriIs04	20 C	NIES-3581
Raphidiopsis raciborskii	ISG9	20 C	NIES-3583
Raphidiopsis raciborskii	ISG-13	20 C	NIES-3584
Nodularia sp.	CIT044	25 C	NIES-3585
Chattonella marina	KGW-67; Os-57-m	23 C	NIES-3586
Heterosigma akashiwo	KGW-207-2	20 C	NIES-3587
Amphidinium carterae	KGW-116	20 C	NIES-3590
Amphidinium sp.	KGW-215; 96-1	20 C	NIES-3591
Amphidinium sp.	KGW-266; 05-1	20 C	NIES-3592
Gymnodinium impudicum	KGW-36-2	20 C	NIES-3597
Gymnodinium sp.	KGW-159; 91-1	20 C	NIES-3598
Trichodesmium sp.	NIBB1067	25 C	NIES-3600
Gymnodinium sp.	KGW-287; 06-2	20 C	NIES-3602
Gyrodinium falcatum	KGW-303	20 C	NIES-3604
Gyrodinium instriatum	KGW-270	20 C	NIES-3605
Gyrodinium sp.	KGW-183; 94-3	20 C	NIES-3606
Alexandrium catenella	KGW-276; simoda	20 C	NIES-3610
Alexandrium hiranoi	KGW-307	20 C	NIES-3611
Alexandrium tamiyavanichii	KGW-259; 04	20 C	NIES-3612
Heterocapsa circularisquama	KGW-186; Mie-94	20 C	NIES-3617
Heterocapsa circularisquama	KGW-191; Uch-94	20 C	NIES-3618
Heterocapsa circularisquama	KGW-198; Imari-95	20 C	NIES-3619
Heterocapsa circularisquama	KGW-242; Uch-00	20 C	NIES-3620
Heterocapsa circularisquama	KGW-260; Harima	20 C	NIES-3621
Pyrophacus horologium	KGW-324	20 C	NIES-3623
Pyrophacus steinii	KGW-52-2	20 C	NIES-3624
Thecadinium kofoidii	KGW-136	20 C	NIES-3625
Chlamydomonas sp.	KGW-90; Yashima	20 C	NIES-3627
Chlamydomonas sp.	KGW-318; Tadotu	20 C	NIES-3628
Dunaliella sp.	KGW-176	20 C	NIES-3629
Oltmannsiellopsis viridis	KGW-94	20 C	NIES-3630
Oltmannsiellopsis unicellularis	KGW-154	20 C	NIES-3631
Desmodesmus komarekii	KGW-319	20 C	NIES-3632
Coolia malayensis	C1	20 C	NIES-3637
Galdieria sulphuraria	074W	37 C	NIES-3638
Stichococcus bacillaris	Handa-786-x	20 C	NIES-3639
Gloeomonas anomalipyrenoides	HkCl-5-3	20 C	NIES-3640
Gloeomonas anomalipyrenoides	97-0808-G-2-WT	20 C	NIES-3641
Gloeomonas anomalipyrenoides	97-0808-G-2-stg	20 C	NIES-3642
Oogamochlamys sp.	IKE31	20 C	NIES-3643
Oogamochlamys sp.	IKE32	20 C	NIES-3644
Cyanophora cuspidata	101	20 C	NIES-3645
Closterium moniliferum	izu76-1	20 C	NIES-3646
Suigetsumonas clinomigrationis	LSccTR-1	20 C	NIES-3647
Gymnoxanthella radiolariae	elegans_symbiont	20 C	NIES-3649
Chrysochromulina sp.		15 C	NIES-3652
Emiliania huxleyi	MH 545	20 C	NIES-3653
Emiliania huxleyi	MH 534	20 C	NIES-3654
Pavlova sp.	MH 474	20 C	NIES-3656
Bathycoccus prasinos	MH 461	20 C	NIES-3657
Chloropicon roscoffensis	MH 504	20 C	NIES-3667
Chloropicon roscoffensis	MH 537	20 C	NIES-3668
Chloroparvula pacifica	MH 509	20 C	NIES-3669
Chloropicon roscoffensis	MH 533	20 C	NIES-3670
Chloropicon sieburthii	MH 514	20 C	NIES-3671
Picochlorum maculatum	MH 477	20 C	NIES-3675
Nannochloris sp.	MH 517	20 C	NIES-3676
Nannochloris sp.	MH 496	20 C	NIES-3677
Nannochloris sp.	MH 513	20 C	NIES-3678
Triparma laevis	TLLOY-0907	5 C	NIES-3699
Triparma verrucosa	TVOY-0907	5 C	NIES-3700
Triparma strigata	TSOY-0907	5 C	NIES-3701
Dangeardinia metastigma	TwCl-604	25 C	NIES-3702
Dangeardinia pseudopertusa	SbCl-4	20 C	NIES-3703
Rhysamphichloris curta	ChCl1201	20 C	NIES-3704
Rhysamphichloris curta	KrCl-604	20 C	NIES-3705
Ixipapillifera pauromitos	HjCl-2	20 C	NIES-3706
Ixipapillifera pauromitos	EbCl-16	20 C	NIES-3707
Geminocystis sp.	CIT003	20 C	NIES-3708
Geminocystis sp.	CIT008	20 C	NIES-3709
Chaetoceros debilis	Ch48	15 C	NIES-3710
Chaetoceros lorenzianus	IT-Dia51	15 C	NIES-3711
Chaetoceros setoensis	IT07-C11	15 C	NIES-3712
Chaetoceros socialis	L-4	15 C	NIES-3713
Chaetoceros tenuissimus	2-6	15 C	NIES-3714
Chaetoceros tenuissimus	2-10	15 C	NIES-3715
Chaetoceros sp.	TG07-C28	15 C	NIES-3716
Chaetoceros sp.	SS08-C03	15 C	NIES-3717
Chaetoceros sp.	SS628-11	15 C	NIES-3718
Coleochaete nitellarum	AM224-c	20 C	NIES-3719
Angulamoeba microcystivorans	A1WVB	20 C	NIES-3722
Copromyxa microcystidis	A2JEPDK	20 C	NIES-3723
Korotnevella jeppesenii	A4DVDPB	20 C	NIES-3725
Korotnevella pelagolacustris	A16WVB	20 C	NIES-3726
Vexillifera westveldii	A18WVB	20 C	NIES-3729
Microcystis aeruginosa	M31WVB	20 C	NIES-3730
Aphanizomenon sp.	SZ-25	20 C	NIES-3731
Aphanizomenon sp.	SZ-44	20 C	NIES-3732
Cuspidothrix issatschenkoi	SZ-23	20 C	NIES-3733
Raphidiopsis raciborskii	SZ-39	20 C	NIES-3734
Limnothrix sp.	SZ-16	20 C	NIES-3735
Planktothrix suspensa	SZ-5	20 C	NIES-3736
Pseudanabaena sp.	SZ-7	20 C	NIES-3738
Sphaerospermopsis aphanizomenoides	SZ-42	20 C	NIES-3739
Unidentified cyanobacterium	SZ-12	20 C	NIES-3740
Chlorella sp.	KAS sort 30	20 C	NIES-3741
Mychonastes sp.	KAS sort 39	20 C	NIES-3742
Mychonastes sp.	KAS sort 44	20 C	NIES-3743
Dunaliella sp.	hunazoko	20 C	NIES-3744
Euglena anabaena	Eu044	20 C	NIES-3745
Protosiphon botryoides	Handa-2029B-b	20 C	NIES-3746
Protosiphon botryoides	Handa-2296-e	20 C	NIES-3747
Chaetopeltis orbicularis	SH-3905A-k	20 C	NIES-3748
Pascherina tetras	Isa28	20 C	NIES-3749
Pascherina tetras	Isa41	20 C	NIES-3750
Chloromonas krienitzii	GsCl-49	5 C	NIES-3752
Chloromonas krienitzii	GsCl-54	5 C	NIES-3753
Mastigocladus sp.	SW1	37-45 C	NIES-3754
Leptolyngbya sp.	ES	20 C	NIES-3755
Nostoc sp.	CIT038	20 C	NIES-3756
Stanieria sp.	CIT031	20 C	NIES-3757
Synechocystis sp.		20 C	NIES-3758
Synechocystis sp.		20 C	NIES-3759
Hapalochloris nozakii	YgS1301A6	20 C	NIES-3760
Hapalochloris nozakii	YgS1301B5	20 C	NIES-3761
Hapalochloris nozakii	YgS1301C3	20 C	NIES-3762
Hapalochloris nozakii	YgS1301D4	20 C	NIES-3763
Diphylleia rotans	SRT116	20 C	NIES-3764
Vannella simplex	A17WVB	20 C	NIES-3766
Vannella simplex	A6HEB	20 C	NIES-3767
Pyrobotrys casinoensis	DP11	20 C	NIES-3768
Pyrobotrys casinoensis	DP21	20 C	NIES-3769
Pyrobotrys casinoensis	DP31	20 C	NIES-3770
Pyrobotrys elongata	YP316	20 C	NIES-3771
Pyrobotrys elongata	YP416	20 C	NIES-3772
Pyrobotrys squarrosa	YS11	20 C	NIES-3773
Pyrobotrys squarrosa	YS21	20 C	NIES-3774
Asulcocephalium miricentonis	mi11-8kt	20 C	NIES-3775
Leiocephalium pseudosanguineum	hn13-25kt	20 C	NIES-3776
Leiocephalium pseudosanguineum	it12-10kt	20 C	NIES-3777
Merismopedia sp.	KAS-1505m	20 C	NIES-3779
Volvox africanus	2013-0703-VO4	20 C	NIES-3780
Volvox reticuliferus	2013-0703-VO1	20 C	NIES-3781
Volvox reticuliferus	2013-0703-VO2	20 C	NIES-3782
Volvox reticuliferus	2013-0703-VO3	20 C	NIES-3783
Volvox africanus	VO4-F1-1	24 C	NIES-3784
Volvox reticuliferus	VO123-F1-6	20 C	NIES-3785
Volvox reticuliferus	VO123-F1-7	20 C	NIES-3786
Microcystis aeruginosa	MA1	20 C	NIES-3787
Microcystis aeruginosa	MA2	20 C	NIES-3788
Microcystis aeruginosa	MA3	20 C	NIES-3789
Microcystis aeruginosa	MA4	20 C	NIES-3790
Microcystis aeruginosa	MA5	20 C	NIES-3791
Microcystis aeruginosa	MA7	20 C	NIES-3792
Microcystis aeruginosa	MA8	20 C	NIES-3793
Microcystis aeruginosa	MA11	20 C	NIES-3794
Microcystis aeruginosa	MA14	20 C	NIES-3795
Microcystis aeruginosa	MA17	20 C	NIES-3797
Microcystis aeruginosa	MA18	20 C	NIES-3798
Microcystis aeruginosa	MA19	20 C	NIES-3799
Microcystis aeruginosa	MA20	20 C	NIES-3800
Microcystis aeruginosa	KJ1	20 C	NIES-3801
Microcystis aeruginosa	KJ2	20 C	NIES-3802
Microcystis aeruginosa	KJ5	20 C	NIES-3804
Microcystis aeruginosa	KJ6	20 C	NIES-3805
Microcystis aeruginosa	KJ7	20 C	NIES-3806
Microcystis aeruginosa	KJ9	20 C	NIES-3807
Breviolum minutum	Mf1.05b.01	20 C	NIES-3808
