ncbiTaxID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
2285	Sulfolobus acidocaldarius	Y14 20-20	72,5	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus
1006006	Metallosphaera cuprina	Ar-4	75	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera
43687	Metallosphaera sedula	ARS120-1	75	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera
43687	Metallosphaera sedula	ARS120-2	75	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera
43687	Metallosphaera sedula	ARS50-1	75	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera
43687	Metallosphaera sedula	ARS50-2	75	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera
399549	Metallosphaera sedula	DSM 5348	75	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera
43687	Metallosphaera sedula	SARC-M1	75	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera
693661	Archaeoglobus veneficus	SNP6	80	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus
579137	Methanocaldococcus vulcanius	M7	80	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus
49899	Thermococcus profundus	DT 5432	80	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
572546	Archaeoglobus profundus	DSM 5631	82	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus
523846	Methanothermus fervidus	DSM 2088	82,5	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus
224325	Archaeoglobus fulgidus	DSM 4304	83	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus
1344584	Archaeoglobus fulgidus	DSM 8774	83	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus
71997	Thermococcus gorgonarius	W-12	84	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
71998	Thermococcus pacificus	P-4	84	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
397948	Caldivirga maquilingensis	IC-167	85	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Caldivirga
765177	Desulfurococcus mucosus	DSM 2162	85	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus
589924	Ferroglobus placidus	DSM 10642	85	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Ferroglobus
1301915	Methanocaldococcus bathoardescens	JH146	85	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus
573064	Methanocaldococcus fervens	AG86	85	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus
573063	Methanocaldococcus infernus	ME	85	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus
243232	Methanocaldococcus jannaschii	DSM 2661	85	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus
555311	Sulfolobus solfataricus	98/2	85	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus
2287	Sulfolobus solfataricus	P1	85	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus
273057	Sulfolobus solfataricus	P2	85	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus
2287	Sulfolobus solfataricus	SULA	85	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus
2287	Sulfolobus solfataricus	SULB	85	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus
2287	Sulfolobus solfataricus	SULC	85	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus
55802	Thermococcus barophilus	CH5	85	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
391623	Thermococcus barophilus	MP	85	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
54262	Thermococcus chitonophagus	[isolate 1]	85	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
54262	Thermococcus chitonophagus	GC74	85	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
53952	Thermococcus peptonophilus	OG-1	85	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
633148	Thermosphaera aggregans	DSM 11486	85	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermosphaera
368408	Thermofilum pendens	Hrk 5	87,5	Archaea	Thermoproteota	Thermoprotei	Thermofilales	Thermofilaceae	Thermofilum
880724	Methanotorris igneus	Kol 5	88	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanotorris
