Name	Strain	Temp	ncbiTaxID	Superkingdom	Phylum	Class	Order	Family	Genus
Chromohalobacter salexigens	CHR183	37.0	158080	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter
Chromohalobacter salexigens	CHR183	37.0	158080	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter
Chromohalobacter salexigens	CHR183	37.0	158080	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter
Chromohalobacter salexigens	CHR183	37.0	158080	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter
Chromohalobacter salexigens	CHR183	37.0	158080	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter
Chromohalobacter salexigens	CHR183	37.0	158080	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter
Chromohalobacter salexigens	CHR183	37.0	158080	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter
Chromohalobacter salexigens	DSM 3043	30.0	290398	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter
Chromohalobacter salexigens	DSM 3043	30.0	290398	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter
Acinetobacter baylyi	ADP1	30.0	62977	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADP1	30.0	62977	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADP1	30.0	62977	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADP1	30.0	62977	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADP1	30.0	62977	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADP1	30.0	62977	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADP1	30.0	62977	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADP331	30.0	202950	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADP331	30.0	202950	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADP331	30.0	202950	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADP331	30.0	202950	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADP331	30.0	202950	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADP331	30.0	202950	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADP197	30.0	202950	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADP197	30.0	202950	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADP197	30.0	202950	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADP197	30.0	202950	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADP197	30.0	202950	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADP197	30.0	202950	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADPU331	30.0	202950	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADPU331	30.0	202950	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADPU331	30.0	202950	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADPU331	30.0	202950	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADPU331	30.0	202950	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Acinetobacter baylyi	ADPU331	30.0	202950	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Leishmania major	nan	25.0	5664	Eukaryota	Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania
Komagataella pastoris	DSMZ 70382	25.0	638632	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Komagataella
Yersinia pestis	EV76	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Pseudomonas aeruginosa	PA01	37.0	287	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Chlamydomonas reinhardtii	nan	25.0	3055	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas
Chlamydomonas reinhardtii	nan	25.0	3055	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas
Chlamydomonas reinhardtii	nan	25.0	3055	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
