ncbiTaxID	Genome	Superkingdom	Phylum	Class	Order	Family	Genus
1123961	GCA_015666155.1	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus
1123961	GCA_017329565.1	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus
1123961	GCA_017329625.1	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus
1123961	GCA_023511315.1	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus
1215089	GCF_001687585.2	Bacteria	Bacillota	Bacilli	Bacillales	Planococcaceae	Planococcus
1288121	GCF_900624755.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
1321365	GCF_900188055.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhodovibrionaceae	Tistlia
1333845	GCF_018966525.1	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
1348249	GCF_000320505.1	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter
1465811	GCF_902374825.1	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Cellulomonadaceae	Cellulomonas
1470345	GCF_000513195.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
1510206	GCF_000565325.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Salinivibrio
1777866	GCF_013170725.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium
1777867	GCF_013170785.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium
2838249	GCF_021029975.1	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
