growthID	strainID	medID	sourceID	Growth_Rate	Growth_Units	pH	Temperature_C	Additional_Notes	contributor_id	approved
87	16	36	15	0,066	1/h	7	25	Mixotrophic	1	1
88	19	41	12	0,220019	1/h	7,8	37		1	1
89	19	42	12	0,18523	1/h	7,8	37		1	1
90	19	43	12	0,133934	1/h	7,8	37		1	1
91	19	44	12	0,118103	1/h	7,8	37		1	1
92	19	45	12	0,112746	1/h	7,8	37		1	1
93	19	46	12	0,232536	1/h	7,8	37		1	1
94	19	47	12	0,175393	1/h	7,8	37		1	1
95	19	48	12	0,146303	1/h	7,8	37		1	1
96	19	49	12	0,138923	1/h	7,8	37		1	1
97	19	50	12	0,135219	1/h	7,8	37		1	1
98	19	51	12	0,261842	1/h	7,8	37		1	1
99	19	52	12	0,235401	1/h	7,8	37		1	1
100	19	53	12	0,200397	1/h	7,8	37		1	1
101	19	54	12	0,18255	1/h	7,8	37		1	1
102	19	55	12	0,0825093	1/h	7,8	37		1	1
103	19	56	12	0,286211	1/h	7,8	37		1	1
104	19	57	12	0,256796	1/h	7,8	37		1	1
105	19	58	12	0,20965	1/h	7,8	37		1	1
106	19	59	12	0,189272	1/h	7,8	37		1	1
107	19	60	12	0,126642	1/h	7,8	37		1	1
108	19	61	12	0,373287	1/h	7,8	37		1	1
109	19	62	12	0,359242	1/h	7,8	37		1	1
110	19	63	12	0,333222	1/h	7,8	37		1	1
111	19	64	12	0,237281	1/h	7,8	37		1	1
112	19	65	12	0,138769	1/h	7,8	37		1	1
113	19	66	12	0,273259	1/h	7,8	37		1	1
114	19	67	12	0,287823	1/h	7,8	37		1	1
115	19	68	12	0,355116	1/h	7,8	37		1	1
116	19	69	12	0,263502	1/h	7,8	37		1	1
117	19	70	12	0,160298	1/h	7,8	37		1	1
119	14	42	12	0,144251	1/h	7,3	37		1	1
120	14	42	12	0,130638	1/h	7,5	37		1	1
121	14	42	12	0,21227	1/h	7,8	37		1	1
122	14	42	12	0,258876	1/h	8	37		1	1
123	14	67	12	0,290842	1/h	7,3	37		1	1
124	14	67	12	0,374108	1/h	7,5	37		1	1
125	14	67	12	0,370165	1/h	7,8	37		1	1
126	14	67	12	0,255269	1/h	8	37		1	1
127	14	71	12	0,34794	1/h	7,3	37		1	1
128	14	71	12	0,257277	1/h	7,5	37		1	1
129	14	71	12	0,326348	1/h	7,8	37		1	1
130	14	71	12	0,381366	1/h	8	37		1	1
131	20	72	20	0,067	1/h		37		1	1
132	21	72	20	0,021	1/h		37		1	1
133	22	72	20	0,013	1/h		37		1	1
134	23	72	20	0,031	1/h		37		1	1
135	24	72	20	0,028	1/h		37		1	1
136	25	72	20	0,034	1/h		37		1	1
137	26	72	20	0,029	1/h		37		1	1
138	27	72	20	0,042	1/h		37		1	1
139	28	88	21	0,233676	1/h	7	34		1	1
140	29	89	22	0,030824	1/h	6,6	22	anaerobic	1	1
141	30	89	22	0,0426216	1/h	6,6	22	anaerobic	1	1
142	29	89	22	0,066	1/h	6,6	37	anaerobic	1	1
143	30	89	22	0,087	1/h	6,6	37	anaerobic	1	1
144	29	89	22	0,1	1/h	6,6	42	anaerobic	1	1
145	30	89	22	0,14	1/h	6,6	42	anaerobic	1	1
146	17	39	17	0,293	1/h		37		1	1
147	17	73	17	0,57	1/h		37		1	1
148	17	74	17	0,481	1/h		37		1	1
149	17	75	17	0,965	1/h		37		1	1
150	17	76	17	1,084	1/h		37		1	1
151	17	77	17	0,804	1/h		37		1	1
152	33	102	25	1,08465	1/h	7,4	37		1	1
153	35	103	29	0,42	1/h	7	37	aerobic	1	1
154	38	115	34	0,558	1/h	7	37		1	1
155	38	116	34	0,533	1/h	7	37		1	1
156	38	117	34	0,442	1/h	7	37		1	1
157	38	118	34	0,531	1/h	7	37		1	1
