
Current Name	Number of Results
Shigella dysenteriae	2
Shigella flexneri	1
Shigella sonnei	1
Vibrio cholerae	12
Bacillus alcalophilus	1
Bacillus anthracis	7
Bacillus atropeaus	1
Bacillus badius	1
Bacillus carotarum	1
Bacillus cereus	17
Bacillus circulans	3
Bacillus coagulans	6
Bacillus firmus	1
Bacillus freudenreichii	1
Bacillus lentus	1
Bacillus licheniformis	17
bacillus loehnisii	1
Bacillus megaterium	7
Bacillus mycoides	3
Bacillus pumilus	8
Bacillus sonorensis	1
Bacillus sphaericus	8
Bacillus stearothermophilus	1
Bacillus subtilis	9
Bacillus subtilis subsp spizizenii	1
Bacillus tequilensis	1
Bacteroides caccae	1
Bacteroides distasonis	1
Bacteroides eggerthii	1
bacteroides flavofluorescens	1
Bacteroides fragilis	8
Bacteroides lentus	1
Bacteroides merdae	1
Bacteroides ovatus	1
Bacteroides stercoris	1
Bacteroides tectus	1
Bacteroides thetaiotaomicron	2
Bacteroides uniformis	1
Bacteroides ureolyticus	4
Bacteroides variabilis	1
Bacteroides vulgatus	2
Bartonella bacilliformis	2
Bartonella doshiae	1
Bartonella elizabethae	1
Bartonella grahamii	1
Bartonella henselae	1
Bartonella melophagi	1
Bartonella quintana	1
Bartonella schoenbuchensis	1
Bartonella tamiae	1
Bartonella vinsonii	1
Bartonella washoensis	1
Bartonella washoensis ssp. cynomysius	1
Bergeriella denitrificans	1
Bergeyella zoohelcum	3
Bibersteinia trehalosi	2
Bifidobacterium adolescentis	1
Bifidobacterium bifidum	2
Bifidobacterium breve	2
Bifidobacterium dentium	1
Bifidobacterium infantis	1
Bifidobacterium longum	1
Bifidobacterium longum subsp. infantis	1
Bisgaardia	1
Bisgaardia hudsonensis	1
Blautia coccoides	1
Blautia producta	1
Bordetella ansorpii	1
Bordetella avium	2
Bordetella bronchiseptica	17
Bordetella hinzii	3
Bordetella holmesii	2
Bordetella parapertussis	11
Bordetella pertussis	19
Bordetella petrii	2
Bordetella pseudohinzii	1
Bordetella trematum	2
Brachybacterium nesterenkovii	1
Brachyspira hampsonii	2
Brachyspira innocens	1
Brachyspira pilosicola	2
Brachyspira pilosicoli	1
Brevibacillus brevis	2
Brevibacillus laterosporus	3
Brevibacterium epidermidis	4
Brevibacterium iodinum	3
Brevundimonas diminuta	3
Brevundimonas vancanneytii	1
Brevundimonas vesicularis	3
Brochothrix thermosphacta	1
Brucella abortus	23
Brucella anthropi	4
Brucella canis	2
Brucella ceti	1
Brucella intermedia	1
Brucella melitensis	10
Brucella neotomae	4
Brucella ovis	2
Brucella pinnipedialis	1
Brucella suis	13
Budvicia aquatica	3
Burkholderia cenocepacia	7
Burkholderia cepacia	4
Burkholderia gladioli	1
Burkholderia mallei	10
Burkholderia multivorans	1
Burkholderia oklahomensis	4
Burkholderia pseudomallei	17
Burkholderia stabilis	1
Burkholderia thailandensis	1
Burkholderia ubonensis	1
Buttiauxella agrestis	1
Butyribacterium limosum	1
Campylobacter	2
Campylobacter aviculae	1
Campylobacter bilis	1
campylobacter clo-3	1
Campylobacter coli	12
Campylobacter coli bacteriophage	3
Campylobacter coli ssp. aquaticus	1
Campylobacter concisus	3
Campylobacter estrildidarum	1
Campylobacter fetus subsp. fetus	3
Campylobacter fetus subsp. venerealis	2
Campylobacter gracilis	1
Campylobacter helveticus	7
Campylobacter hepaticus	1
Campylobacter hominis	1
Campylobacter hyoilei	2
Campylobacter hyointestinalis	6
Campylobacter insulaenigrae	4
Campylobacter jejuni	25
Campylobacter jejuni bacteriophage	8
Campylobacter jejuni subsp. doylei	9
Campylobacter jejuni subsp. jejuni	24
Campylobacter lanienae	2
Campylobacter lari	13
Campylobacter mucosalis	5
Campylobacter rectus	1
Campylobacter showae	1
Campylobacter sp.	1
Campylobacter sputorum biovar fecalis	2
Campylobacter sputorum biovar sputorum	1
Campylobacter sputorum subsp. bubulus	2
Campylobacter sputorum subsp. sputorum	3
